Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
6703;2795;70;30;1427
6704;865;60;40;550
6705;1420;100;0;262
6706;5415;50;50;2000
6707;5060;20;80;3006
6708;13730;50;50;2026
6709;4115;30;70;1712
6711;11115;60;40;1922
6712;5280;60;40;2545
6713;10015;60;40;2597
6714;7265;50;50;2662
6715;6790;60;40;2035
6716;8125;80;20;1255
6717;18400;50;50;1970
6718;8590;70;30;896
6721;15150;70;30;1177
6731;2230;70;30;243
6732;3525;70;20;207
6733;2750;70;30;173
6741;13680;80;20;582
6744;3665;80;20;244
6745;460;80;20;250
6811;6120;20;80;3388
6812;2760;60;40;1170
6813;4460;70;30;1344
6814;6215;70;30;2233
6815;3305;50;50;661
6816;2340;70;30;171
6821;5985;50;50;3741
6822;7225;30;70;3579
6823;6905;20;70;1660
6824;10145;50;50;2729
6825;5655;50;50;2253
6826;10360;20;80;2342
6827;425;10;90;1559
6828;12095;30;70;3756
6831;3560;20;70;1827
6832;5400;20;80;2258
6833;6635;40;50;2056
6834;3260;20;80;1380
6835;5395;50;50;1643
6836;11990;60;40;1475
6841;4625;40;60;1728
6842;2865;60;30;1351
6843;10755;60;40;1743
6844;4135;60;40;2103
6845;6180;60;40;1649
6846;12550;60;40;1287
6851;9345;70;30;1146
6852;10055;80;20;1475
6861;5665;70;30;934
6862;5665;70;30;1021
6865;4975;50;50;786
6866;3515;60;40;963
6869;710;70;30;362
6871;9125;60;40;1076
6874;1765;60;40;176
6877;60;-99997;-99997;2
6881;7440;70;30;1782
6882;6510;30;70;2530
6883;4355;50;40;1621
6891;1695;90;10;946
6901;6305;50;50;1815
6902;1165;90;10;909
6903;6815;60;40;1524
6904;7215;50;50;1744
6905;4085;80;20;482
6909;1855;60;40;203
6911;2420;70;30;293
6913;865;80;20;88
6914;1015;70;30;128
6915;3075;50;50;563
6916;2765;70;30;482
6917;660;60;40;102
6921;14395;70;30;1277
6922;7590;60;40;1247
6923;2010;80;20;298
6924;1135;80;20;165
6931;7545;60;40;1090
6932;7425;50;50;1228
6941;4760;70;30;886
6942;12220;60;40;1018
6951;7265;50;50;1382
6952;4310;50;50;1373
6953;2110;70;30;831
6955;1105;80;20;151
6956;915;60;40;618
6957;985;80;20;142
6961;9640;60;40;902
6964;820;80;20;51
6971;8555;60;40;764
6974;705;80;10;107
6975;355;90;10;22
6981;4580;50;50;969
6982;2165;40;60;854
6983;4130;70;30;737
6984;200;70;30;141
6986;1315;80;20;409
6987;2780;70;30;353
6988;1410;90;10;175
