postal_code,month_year,value_EV,value_CP,monthly_price,value_cars
5803,2020-12-01,62,31,1.5534193548387096,4560
5804,2020-07-01,27,7,1.560741935483871,1614
5804,2020-08-01,31,7,1.564258064516129,1614
5804,2020-09-01,31,6,1.5640666666666667,1614
5804,2020-06-01,28,7,1.5385666666666666,1614
5804,2020-01-01,20,7,1.6971290322580646,1614
5804,2020-02-01,21,7,1.664,1614
5804,2020-03-01,24,7,1.566516129032258,1614
5804,2020-04-01,26,7,1.4683,1614
5804,2020-05-01,28,7,1.4820967741935485,1614
5804,2020-10-01,34,8,1.5578709677419356,1614
5804,2020-11-01,34,8,1.5245666666666666,1614
5804,2020-12-01,35,12,1.5534193548387096,1614
5807,2020-11-01,25,9,1.5245666666666666,1224
5807,2020-12-01,25,14,1.5534193548387096,1224
5807,2020-03-01,19,9,1.566516129032258,1224
5807,2020-10-01,27,9,1.5578709677419356,1224
5807,2020-01-01,17,8,1.6971290322580646,1224
5807,2020-02-01,18,9,1.664,1224
5807,2020-07-01,23,9,1.560741935483871,1224
5807,2020-04-01,23,9,1.4683,1224
5807,2020-05-01,22,9,1.4820967741935485,1224
5807,2020-06-01,21,9,1.5385666666666666,1224
5807,2020-08-01,21,8,1.564258064516129,1224
5807,2020-09-01,24,8,1.5640666666666667,1224
5808,2020-03-01,15,1,1.566516129032258,815
5808,2020-01-01,12,1,1.6971290322580646,815
5808,2020-02-01,14,1,1.664,815
5808,2020-12-01,22,2,1.5534193548387096,815
5808,2020-07-01,17,1,1.560741935483871,815
5808,2020-04-01,17,1,1.4683,815
5808,2020-05-01,16,1,1.4820967741935485,815
5808,2020-06-01,16,1,1.5385666666666666,815
5808,2020-11-01,18,1,1.5245666666666666,815
5808,2020-08-01,18,1,1.564258064516129,815
5808,2020-09-01,18,1,1.5640666666666667,815
5808,2020-10-01,18,1,1.5578709677419356,815
5809,2020-06-01,16,1,1.5385666666666666,1211
5809,2020-07-01,16,1,1.560741935483871,1211
5809,2020-08-01,18,1,1.564258064516129,1211
5809,2020-09-01,18,1,1.5640666666666667,1211
