"","postal_code","month_year","value_EV","value_CP","monthly_price","value_cars","Total","Supermarket","Convenience.stores","Cafe","Cafeteria","Hotel","Restaurant","Railway.station","Amusement.park","Cinema","Museums","Art.exhibitions","Library","Swimming.pool","General.practioner","Hospital.including.clinic"
"68",5807,2020-04-01,23,9,1.4683,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
"69",5807,2020-05-01,22,9,1.48209677419355,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
"70",5807,2020-06-01,21,9,1.53856666666667,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
"71",5807,2020-08-01,21,8,1.56425806451613,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
"72",5807,2020-09-01,24,8,1.56406666666667,1224,2410,"0","1","1","1","0","0","1","0","0","0","0","0","0","0","0"
"73",5808,2020-03-01,15,1,1.56651612903226,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"74",5808,2020-01-01,12,1,1.69712903225806,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"75",5808,2020-02-01,14,1,1.664,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76",5808,2020-12-01,22,2,1.55341935483871,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"77",5808,2020-07-01,17,1,1.56074193548387,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"78",5808,2020-04-01,17,1,1.4683,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"79",5808,2020-05-01,16,1,1.48209677419355,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80",5808,2020-06-01,16,1,1.53856666666667,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"81",5808,2020-11-01,18,1,1.52456666666667,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"82",5808,2020-08-01,18,1,1.56425806451613,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"83",5808,2020-09-01,18,1,1.56406666666667,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"84",5808,2020-10-01,18,1,1.55787096774194,815,1185,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"85",5809,2020-06-01,16,1,1.53856666666667,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"86",5809,2020-07-01,16,1,1.56074193548387,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"87",5809,2020-08-01,18,1,1.56425806451613,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"88",5809,2020-09-01,18,1,1.56406666666667,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"89",5809,2020-01-01,10,1,1.69712903225806,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"90",5809,2020-02-01,12,1,1.664,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"91",5809,2020-03-01,13,1,1.56651612903226,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"92",5809,2020-04-01,14,1,1.4683,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"93",5809,2020-05-01,14,1,1.48209677419355,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"94",5809,2020-10-01,20,1,1.55787096774194,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"95",5809,2020-11-01,21,1,1.52456666666667,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"96",5809,2020-12-01,21,2,1.55341935483871,1211,2285,"0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"97",5811,2020-10-01,9,1,1.55787096774194,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"98",5811,2020-11-01,9,1,1.52456666666667,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"99",5811,2020-12-01,9,2,1.55341935483871,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"100",5811,2020-04-01,8,1,1.4683,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"101",5811,2020-01-01,8,1,1.69712903225806,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"102",5811,2020-02-01,8,1,1.664,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"103",5811,2020-03-01,8,1,1.56651612903226,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"104",5811,2020-08-01,10,1,1.56425806451613,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"105",5811,2020-05-01,9,1,1.48209677419355,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"106",5811,2020-06-01,9,1,1.53856666666667,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"107",5811,2020-07-01,10,1,1.56074193548387,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"108",5811,2020-09-01,9,1,1.56406666666667,474,815,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"109",5812,2020-01-01,6,0,1.69712903225806,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110",5812,2020-02-01,6,0,1.664,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111",5812,2020-03-01,6,0,1.56651612903226,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112",5812,2020-04-01,6,0,1.4683,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113",5812,2020-08-01,6,0,1.56425806451613,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114",5812,2020-05-01,6,0,1.48209677419355,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115",5812,2020-06-01,6,0,1.53856666666667,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116",5812,2020-07-01,6,0,1.56074193548387,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117",5812,2020-12-01,7,1,1.55341935483871,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118",5812,2020-09-01,6,0,1.56406666666667,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119",5812,2020-10-01,6,0,1.55787096774194,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120",5812,2020-11-01,6,0,1.52456666666667,314,480,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121",5813,2020-06-01,36,2,1.53856666666667,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"122",5813,2020-07-01,39,2,1.56074193548387,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"123",5813,2020-08-01,39,2,1.56425806451613,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"124",5813,2020-09-01,41,2,1.56406666666667,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"125",5813,2020-01-01,32,2,1.69712903225806,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"126",5813,2020-02-01,34,2,1.664,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"127",5813,2020-03-01,34,2,1.56651612903226,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"128",5813,2020-04-01,34,2,1.4683,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"129",5813,2020-05-01,34,2,1.48209677419355,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"130",5813,2020-10-01,45,2,1.55787096774194,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"131",5813,2020-11-01,46,2,1.52456666666667,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"132",5813,2020-12-01,51,3,1.55341935483871,1359,2245,"1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"133",5814,2020-10-01,1,0,1.55787096774194,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"134",5814,2020-11-01,1,0,1.52456666666667,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"135",5814,2020-12-01,1,1,1.55341935483871,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"136",5814,2020-04-01,1,0,1.4683,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"137",5814,2020-01-01,1,0,1.69712903225806,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"138",5814,2020-02-01,1,0,1.664,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"139",5814,2020-03-01,1,0,1.56651612903226,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"140",5814,2020-08-01,1,0,1.56425806451613,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"141",5814,2020-05-01,1,0,1.48209677419355,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"142",5814,2020-06-01,1,0,1.53856666666667,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"143",5814,2020-07-01,1,0,1.56074193548387,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"144",5814,2020-09-01,1,0,1.56406666666667,326,560,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"145",5815,2020-02-01,5,0,1.664,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"146",5815,2020-03-01,5,0,1.56651612903226,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"147",5815,2020-04-01,5,0,1.4683,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"148",5815,2020-01-01,6,0,1.69712903225806,634,1070,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
