Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2018;Zuid-Limburg (CR);     0.8;     1.4;     7.0;    15.2;     6.3;     1.1;     4.5;     6.2;       .;       .;     0.9;     0.6;     2.7;     0.6;     0.5;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.2;    14.4;     3.4;     4.7;     1.3;     2.7;     6.0;     6.0;     5.1;     5.6;     2.4;     5.2
2019;Zuid-Limburg (CR);     0.8;     1.4;     7.1;    15.5;     6.3;     1.1;     4.4;     6.2;       .;       .;     0.9;     0.6;     2.7;     0.5;     0.5;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.2;    14.2;     3.4;     4.7;     1.3;     2.7;     6.0;     6.0;     5.0;     5.4;     2.3;     5.2
2020;Zuid-Limburg (CR);     0.8;     1.3;     6.3;    13.7;     6.3;     1.1;     4.4;     6.2;       .;       .;     0.9;     0.6;     2.4;     0.6;     0.5;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.2;    14.2;     3.4;     4.7;     1.3;     2.7;     6.0;     6.0;     5.0;     5.6;     2.6;     5.2
2021;Zuid-Limburg (CR);     0.8;     1.3;     6.3;    13.6;     6.3;     1.2;     4.4;     6.2;       .;       .;     0.9;     0.7;     2.4;     0.6;     0.5;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.2;    14.2;     3.4;     4.7;     1.3;     2.7;     6.0;     6.0;     5.2;     5.6;     2.5;     5.0
2016;Almelo;     1.0;     1.4;     9.4;    17.3;     3.7;     1.1;     3.7;     3.7;       .;       .;     0.8;     0.6;     2.1;     0.9;     0.7;     0.8;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.6;     3.0;    21.2;     2.6;     2.6;     1.9;     2.4;     8.8;    15.9;     2.6;    14.9;     2.3;     4.2
2017;Almelo;     1.0;     1.4;     8.9;    16.3;       .;     1.1;     3.7;     3.7;       .;       .;     0.8;     0.6;     2.1;     1.1;     0.7;     0.8;     2.4;     0.4;     0.5;     7.0;     1.3;     4.0;     6.9;     4.2;     0.7;     1.0;     1.7;     3.5;     1.6;     2.3;     2.6;     3.0;    21.4;     2.6;     2.6;     1.9;     2.4;     8.8;    15.8;     2.6;    14.8;     2.3;     4.2
2018;Almelo;     1.0;     1.4;     8.9;    16.3;     3.7;     1.1;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.2;     1.1;     0.6;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.6;     3.0;    21.5;     2.6;     2.6;     1.9;     2.4;     8.8;    15.9;     2.6;    14.9;     2.3;     4.2
2019;Almelo;     1.0;     1.3;     8.9;    16.3;     3.7;     1.2;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.2;     1.1;     0.6;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.6;     3.0;    21.1;     2.6;     2.5;     1.9;     2.5;     8.8;    15.6;     2.6;    14.8;     2.3;     4.2
2020;Almelo;     1.0;     1.3;     8.3;    15.3;     3.7;     1.2;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.2;     1.3;     0.6;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.6;     3.0;    21.1;     2.6;     2.6;     1.9;     2.5;     8.8;    15.6;     2.6;    15.0;     2.3;     3.2
2021;Almelo;     1.1;     1.2;     7.4;    13.6;     3.7;     1.2;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.2;     1.3;     0.6;     0.9;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.6;     3.0;    21.2;     2.7;     2.7;     1.9;     2.5;     8.8;    15.7;     2.7;    15.0;     2.3;     3.2
