"Vervoerwijzen","Populatie","Reismotieven","Marges","Regio's","Perioden","Gemiddelde afstand per verplaatsing (reizigerskilometers)","Gemiddelde reisduur per verplaatsing (minuten)"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2019","18,60","25,46"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2020","15,99","22,80"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2021","16,73","23,94"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2018","19,31","24,10"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2019","19,71","24,35"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2020","16,18","21,44"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2021","16,84","22,36"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2018","18,92","24,58"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2019","18,81","24,79"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2020","16,44","22,52"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2021","16,84","23,38"
"Bron: CBS."
