Postcode-4,Year,Total,Supermarket,Convenience stores,Cafe,Cafeteria,Hotel,Restaurant,Railway station,Amusement park,Cinema,Museums,Art exhibitions,Library,Swimming pool,General practioner,Hospital including clinic
1426,2020,865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1427,2020,1020,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
1428,2020,110,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1431,2020,12625,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1432,2020,9960,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
1433,2020,9270,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1435,2020,4230,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1436,2020,500,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1437,2020,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1438,2020,175,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1441,2020,14545,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
1442,2020,6815,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1443,2020,7460,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
1444,2020,6690,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1445,2020,9230,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
1446,2020,5060,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
1447,2020,12480,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
1448,2020,18970,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
1451,2020,410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1452,2020,1815,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1454,2020,540,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1456,2020,1830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1458,2020,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1461,2020,3630,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0
1462,2020,5000,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1463,2020,620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1464,2020,770,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1471,2020,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,2020,715,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1473,2020,805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1474,2020,3340,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1475,2020,535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1476,2020,115,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1477,2020,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,2020,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,2020,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,2020,4050,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
1484,2020,890,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
1485,2020,90,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1486,2020,755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1487,2020,150,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1488,2020,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1489,2020,160,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1501,2020,6505,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1502,2020,8355,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1503,2020,11380,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0
1504,2020,8615,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
1505,2020,6580,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
1506,2020,12915,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1507,2020,13240,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
1508,2020,4700,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1
1509,2020,6530,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1511,2020,9735,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1521,2020,11305,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
1525,2020,590,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1531,2020,13055,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1534,2020,495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1536,2020,325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1541,2020,11275,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
1544,2020,8645,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
1546,2020,710,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1551,2020,4865,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1561,2020,8115,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
1562,2020,9185,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
1566,2020,12995,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1567,2020,10965,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1
1601,2020,7435,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1602,2020,11155,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0
1606,2020,4320,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
1607,2020,1515,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1608,2020,1370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1609,2020,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1611,2020,10210,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
1613,2020,9320,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0
1614,2020,2200,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
1616,2020,8255,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1617,2020,1815,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1619,2020,6880,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1621,2020,5525,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1622,2020,7640,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
1623,2020,2535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1624,2020,5625,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1625,2020,9640,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
1627,2020,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1628,2020,20725,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1631,2020,445,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1633,2020,3475,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
1634,2020,440,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1636,2020,1260,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1641,2020,935,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1642,2020,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
