"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2020"
"Utrechtse Heuvelrug";56;64;68;68;68;70;76;75;78;84;84;86
"Vaals";6;6;6;6;6;6;6;6;6;6;6;6
"Valkenburg aan de Geul";4;4;4;4;4;4;4;4;4;4;4;8
"Valkenswaard";7;11;11;11;10;12;12;12;16;18;18;22
"Veendam";6;10;12;12;14;14;14;14;14;14;14;14
"Veenendaal";81;85;93;93;91;93;95;94;97;105;103;106
"Veere";24;24;28;32;32;32;32;32;32;40;46;46
"Veldhoven";77;77;78;78;78;82;82;82;82;82;82;88
"Velsen";110;119;127;135;135;137;142;145;151;155;157;157
"Venlo";68;86;88;88;88;100;102;102;103;107;105;110
"Venray";18;20;20;20;18;20;20;21;26;26;26;50
"Vijfheerenlanden";80;81;83;89;89;92;96;96;100;106;108;117
"Vlaardingen";180;182;181;191;187;189;197;199;209;208;224;224
"Vlieland";1;1;1;1;1;1;1;1;1;1;1;1
"Vlissingen";18;18;22;24;24;24;30;30;28;28;28;26
"Voerendaal";2;2;2;2;2;2;2;2;2;2;2;2
"Voorschoten";67;67;59;59;61;67;65;67;67;64;66;66
"Voorst";18;20;20;24;26;28;28;28;28;28;28;28
"Vught";82;84;84;86;96;96;98;97;97;105;105;107
"Waadhoeke";4;18;18;18;18;18;18;18;18;18;18;18
"Waalre";32;32;32;32;32;31;32;32;32;32;32;32
"Waalwijk";48;48;48;48;48;48;50;50;50;50;57;73
"Waddinxveen";66;65;65;65;67;65;65;67;69;69;73;73
"Wageningen";63;63;63;63;63;63;65;65;65;67;65;71
"Wassenaar";92;94;90;90;86;88;92;92;92;90;90;91
"Waterland";50;56;64;64;63;66;66;70;70;70;74;76
"Weert";26;34;34;34;34;42;42;42;42;42;42;44
