"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2022";"Aantal publieke snellaadpunten voor elektrische auto's|April 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2022";"Aantal publieke snellaadpunten voor elektrische auto's|September 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2022";"Aantal publieke snellaadpunten voor elektrische auto's|November 2022";"Aantal publieke snellaadpunten voor elektrische auto's|December 2022"
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen op Zoom";2;0;0;0;2;2;2;2;2;2;2;4
"Berkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Bernheze";11;11;11;11;19;19;19;19;19;12;12;11
"Best";4;4;4;4;4;4;4;4;4;4;4;4
"Beuningen";0;3;3;3;3;3;0;3;3;3;3;3
"Beverwijk";3;4;4;3;3;0;7;8;8;6;5;8
"Bladel";10;8;8;8;11;11;11;11;11;10;10;10
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";9;9;9;9;8;16;16;16;16;16;16;16
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Borne";0;0;2;2;2;2;2;6;6;6;6;6
"Borsele";0;0;0;0;0;0;0;0;0;0;0;0
"Boxtel";15;15;15;15;15;15;15;15;15;15;15;15
"Breda";53;62;70;70;65;62;61;51;51;38;38;40
"Brielle";4;4;4;4;4;4;4;4;4;4;4;4
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";26;26;26;26;22;22;22;24;24;24;24;24
"Bunschoten";0;0;0;0;0;0;0;2;2;2;2;2
"Buren";0;0;0;0;0;2;2;2;2;2;2;2
"Capelle aan den IJssel";17;17;17;17;17;14;17;15;15;16;16;21
"Castricum";11;11;11;11;10;10;10;10;10;10;10;10
"Coevorden";0;0;0;0;0;0;0;0;2;2;2;2
"Cranendonck";4;4;4;4;10;10;10;10;10;10;10;12
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";0;0;0;0;0;0;0;0;0;0;0;0
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";0;0;8;8;6;6;6;6;6;6;6;6
"De Fryske Marren";3;0;0;0;3;0;3;3;3;3;3;3
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
"De Wolden";12;12;12;12;12;12;16;16;16;16;16;16
"Delft";17;11;13;22;13;19;19;19;19;16;16;17
"Den Haag";42;57;67;63;68;69;66;66;66;45;43;68
"Den Helder";0;0;0;0;0;0;0;0;0;0;0;0
"Deurne";1;0;0;0;1;1;1;1;1;1;1;0
"Deventer";15;11;32;32;11;11;31;31;31;31;28;27
"Diemen";0;6;0;0;0;0;0;0;0;0;0;0
"Dijk en Waard";0;0;0;0;0;0;0;0;0;0;0;1
"Dinkelland";5;9;12;12;14;12;12;14;12;12;12;16
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";3;4;2;2;4;4;4;4;4;2;0;0
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";35;35;43;35;38;38;40;40;42;40;40;38
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";0;2;2;4;4;4;4;4;4;2;0;0
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
"Duiven";24;16;16;16;16;16;24;16;16;47;47;55
"Echt-Susteren";0;0;0;0;0;0;0;0;0;0;3;11
"Edam-Volendam";0;0;0;0;0;0;0;0;0;0;0;0
"Ede";16;16;16;16;16;24;24;24;28;30;30;32
"Eemnes";3;3;3;3;3;29;37;38;38;36;36;36
"Eemsdelta";0;0;0;0;0;2;0;2;2;2;2;2
"Eersel";0;0;0;0;0;0;0;0;0;0;0;0
