"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2021"
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
"Duiven";3;3;1;3;3;3;3;3;3;3;3;3
"Echt-Susteren";0;0;0;0;0;0;3;3;3;3;3;3
"Edam-Volendam";0;0;0;0;0;0;0;0;0;0;0;0
"Ede";0;0;0;6;6;6;6;6;6;7;4;1
"Eemnes";0;0;0;0;0;0;0;0;0;0;0;0
"Eemsdelta";0;0;0;0;0;0;0;0;0;0;0;0
"Eersel";0;0;0;0;0;1;1;1;1;2;2;2
"Eijsden-Margraten";0;0;0;0;0;0;0;0;0;0;0;0
"Eindhoven";9;9;9;9;9;9;9;9;9;11;10;9
"Elburg";0;0;0;0;0;0;0;0;0;0;0;0
"Emmen";3;3;2;4;4;4;6;6;6;4;4;3
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";15;27;29;19;19;20;20;20;20;20;15;10
"Epe";0;0;0;0;0;0;0;0;0;0;0;0
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";16;16;17;19;3;3;3;3;3;3;3;3
"Geertruidenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Geldrop-Mierlo";0;0;0;0;0;4;0;0;0;0;0;0
"Gemert-Bakel";0;0;0;0;0;0;0;0;2;2;2;2
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";8;8;8;8;8;8;8;8;8;8;8;8
"Goeree-Overflakkee";2;2;2;2;2;6;6;6;6;6;4;2
"Goes";7;7;5;7;7;7;9;9;9;7;6;5
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";0;0;0;0;0;0;0;1;1;2;2;1
"Gorinchem";0;0;0;2;2;2;2;2;2;2;2;2
"Gouda";0;0;0;0;0;0;0;0;1;1;1;1
"Groningen";15;18;16;18;18;18;18;23;23;28;23;18
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";0;0;1;1;1;1;1;1;1;1;1;1
"Haarlem";6;6;6;6;6;6;6;6;6;6;6;6
"Haarlemmermeer";27;10;8;10;7;7;7;7;8;8;6;4
"Halderberge";0;0;0;0;0;0;0;0;0;0;0;0
"Hardenberg";4;5;3;5;5;5;5;5;5;4;3;1
"Harderwijk";2;2;2;5;5;5;9;9;5;5;6;7
"Hardinxveld-Giessendam";3;3;1;3;3;3;3;3;3;3;2;0
"Harlingen";3;3;1;3;3;3;3;3;3;3;3;3
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
"Heemskerk";0;0;0;0;0;0;0;0;0;0;0;0
"Heemstede";0;0;0;0;0;0;0;0;0;0;0;0
"Heerde";0;0;0;0;0;0;0;0;0;0;0;0
"Heerenveen";0;0;0;0;0;0;0;0;0;0;1;1
"Heerlen";0;0;0;8;8;8;8;8;8;8;10;11
"Heeze-Leende";0;0;0;0;0;0;0;0;0;0;0;0
"Heiloo";0;0;0;0;0;0;0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Hellevoetsluis";0;0;0;0;0;0;0;0;0;0;0;0
"Helmond";4;4;4;4;4;4;4;4;4;7;6;4
"Hendrik-Ido-Ambacht";8;8;8;8;8;8;8;8;0;0;0;0
"Hengelo";6;6;6;6;6;6;6;8;8;10;8;6
"Het Hogeland";0;0;0;0;0;1;1;1;1;1;1;1
"Heumen";0;0;0;0;0;0;0;0;0;0;0;0
"Heusden";0;0;0;0;0;0;0;0;0;0;0;0
"Hillegom";0;0;0;0;0;3;3;3;3;3;3;3
"Hilvarenbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Hilversum";1;1;1;1;0;0;0;0;0;0;2;3
"Hoeksche Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Hof van Twente";0;0;0;0;0;0;0;0;0;0;0;0
"Hollands Kroon";4;4;4;4;4;4;4;4;4;4;4;3
"Hoogeveen";0;0;0;0;0;0;0;0;0;0;0;0
"Hoorn";4;0;0;0;0;0;0;0;0;0;0;0
"Horst aan de Maas";0;0;0;0;0;0;0;0;0;1;1;1
"Houten";0;0;0;0;0;0;2;0;2;0;0;0
"Huizen";0;0;1;1;0;0;0;0;0;0;0;0
"Hulst";0;0;0;0;0;0;0;0;0;0;0;0
"IJsselstein";3;3;1;3;3;3;3;3;3;3;2;0
"Kaag en Braassem";0;0;0;0;0;0;0;0;0;0;0;0
"Kampen";0;0;0;0;0;0;0;0;0;0;0;0
"Kapelle";0;0;0;0;0;0;0;0;0;0;0;0
"Katwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Kerkrade";3;3;1;3;3;3;3;3;3;3;2;0
"Koggenland";0;0;0;0;0;0;0;0;0;0;0;0
"Krimpen aan den IJssel";0;0;0;0;0;0;0;0;0;1;1;0
"Krimpenerwaard";0;0;0;0;0;0;0;0;0;0;0;0
"Laarbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Land van Cuijk";0;4;8;8;4;4;7;7;7;7;6;4
"Landgraaf";3;3;1;3;3;3;3;3;3;3;2;0
"Landsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Lansingerland";0;0;0;26;26;26;26;26;26;29;15;0
"Laren";0;0;0;0;0;0;0;0;0;0;0;0
"Leeuwarden";12;12;10;12;12;18;18;18;18;19;14;9
"Leiden";2;2;2;2;2;2;2;2;2;2;2;2
"Leiderdorp";0;0;0;0;0;0;0;0;0;0;0;0
"Leidschendam-Voorburg";0;0;0;0;0;0;0;0;0;0;0;0
"Lelystad";0;0;0;8;8;8;8;8;8;8;8;8
"Leudal";0;0;0;0;0;0;0;0;0;0;4;8
"Leusden";0;0;0;0;0;0;2;0;0;14;8;1
"Lingewaard";0;0;0;0;0;0;0;0;0;0;0;0
"Lisse";0;0;0;0;0;0;0;0;0;0;0;0
"Lochem";2;2;2;2;2;2;2;2;2;2;2;1
"Loon op Zand";0;0;0;0;0;0;0;0;0;0;1;2
"Lopik";0;0;0;0;0;0;0;0;0;0;0;0
"Losser";1;0;0;0;0;0;0;0;0;0;0;0
"Maasdriel";2;2;2;2;2;2;2;2;2;2;2;2
"Maasgouw";0;0;0;0;0;0;0;0;0;0;0;0
"Maashorst";1;1;1;1;1;1;1;1;1;1;1;1
"Maassluis";0;0;0;0;0;0;0;0;0;0;0;0
"Maastricht";1;1;1;1;1;1;1;3;3;5;4;3
"Medemblik";0;0;0;0;0;0;0;0;0;0;0;0
"Meerssen";0;0;0;0;0;0;0;0;0;0;0;0
"Meierijstad";0;0;0;0;0;0;0;0;0;0;2;3
"Meppel";0;0;0;0;0;0;0;0;0;0;0;0
"Middelburg";3;3;5;7;7;7;7;7;7;7;7;7
"Midden-Delfland";0;0;0;0;0;0;0;0;0;8;4;0
"Midden-Drenthe";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Groningen";0;0;0;0;0;0;0;0;0;0;0;0
"Moerdijk";0;0;0;0;0;6;0;0;0;0;1;2
"Molenlanden";4;4;3;4;3;2;3;3;3;3;3;3
"Montferland";0;0;0;0;0;0;0;0;0;0;0;0
"Montfoort";0;0;0;0;0;0;0;0;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0;0;0;0;0;0;0
"Neder-Betuwe";10;8;8;9;8;8;8;8;8;8;8;8
"Nederweert";0;0;0;0;0;0;0;0;0;0;0;0
"Nieuwegein";4;3;1;3;3;3;3;3;3;3;2;0
"Nieuwkoop";1;1;1;1;0;0;0;0;0;0;0;0
"Nijkerk";3;3;1;3;3;3;3;3;3;3;2;0
"Nijmegen";16;16;12;16;16;16;16;18;18;18;17;15
"Nissewaard";6;6;4;6;6;6;6;6;6;6;5;3
"Noardeast-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Noord-Beveland";0;0;0;0;0;0;0;0;0;0;0;0
"Noordenveld";0;0;0;0;0;0;0;0;0;0;0;0
"Noordoostpolder";0;0;0;1;1;1;1;1;1;1;1;1
"Noordwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Nuenen, Gerwen en Nederwetten";0;0;0;0;0;0;0;0;0;0;0;0
"Nunspeet";0;0;0;0;0;0;0;0;0;0;0;0
"Oegstgeest";3;3;1;3;3;3;3;3;3;3;3;3
"Oirschot";0;0;0;0;0;0;0;0;0;0;3;6
"Oisterwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Oldambt";0;0;0;0;0;0;0;0;0;0;0;0
"Oldebroek";0;0;0;0;0;0;0;0;0;0;0;0
"Oldenzaal";0;0;0;0;0;0;0;0;0;0;0;0
"Olst-Wijhe";0;0;0;0;0;0;0;0;0;0;0;0
"Ommen";0;0;0;0;0;0;0;0;0;0;0;0
"Oost Gelre";0;0;0;0;0;2;0;0;0;0;0;0
"Oosterhout";0;0;0;0;0;0;0;0;0;0;1;1
"Ooststellingwerf";0;0;0;0;0;0;0;0;0;0;0;0
"Oostzaan";1;1;1;1;5;5;5;5;5;4;2;0
"Opmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Opsterland";3;3;1;3;3;3;3;3;3;3;3;3
"Oss";2;2;2;2;2;2;0;0;2;2;2;2
"Oude IJsselstreek";0;0;0;0;0;0;0;0;0;0;0;0
"Ouder-Amstel";0;0;0;0;0;0;0;0;2;2;1;0
"Oudewater";0;0;0;0;0;0;0;0;0;0;0;0
"Overbetuwe";3;3;1;3;3;3;3;3;3;3;3;3
"Papendrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Peel en Maas";0;0;0;0;0;0;0;0;0;4;3;2
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";0;0;0;0;0;0;0;0;0;0;0;0
"Purmerend";3;3;0;0;0;0;0;0;0;0;0;0
"Putten";0;0;0;0;0;0;0;0;0;2;2;2
"Raalte";0;0;0;0;0;0;0;0;0;0;0;0
"Reimerswaal";0;0;0;0;0;2;2;2;2;2;2;2
"Renkum";0;0;0;0;0;0;0;0;0;0;0;0
"Renswoude";0;0;0;0;0;0;0;0;0;0;0;0
"Reusel-De Mierden";0;0;0;0;0;0;0;0;0;0;0;0
"Rheden";0;0;0;0;0;0;0;0;0;0;0;0
"Rhenen";0;0;0;0;0;0;0;0;0;0;0;0
"Ridderkerk";0;0;0;0;0;0;0;0;0;0;0;0
"Rijssen-Holten";0;4;6;7;7;7;7;7;7;7;6;4
"Rijswijk";3;3;1;3;3;3;3;3;3;3;3;2
"Roerdalen";0;0;0;0;0;0;0;0;0;0;0;0
"Roermond";0;0;0;0;0;0;0;0;0;0;0;0
"Roosendaal";0;0;0;0;0;0;1;1;1;1;1;1
"Rotterdam";10;10;12;12;10;17;10;10;10;15;12;9
"Rozendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Rucphen";0;0;0;0;0;0;0;0;0;0;0;0
"Schagen";3;3;1;3;3;3;3;3;3;3;3;3
"Scherpenzeel";0;0;0;0;0;0;0;0;0;0;0;0
"Schiedam";7;3;3;3;3;3;3;3;3;3;3;3
"Schiermonnikoog";0;0;0;0;"";"";0;0;0;0;0;0
"Schouwen-Duiveland";0;0;0;0;0;2;0;0;0;0;0;0
"'s-Hertogenbosch";8;8;4;8;8;8;13;11;11;6;6;6
"Simpelveld";0;0;0;0;0;0;0;0;0;0;0;0
"Sint-Michielsgestel";0;0;0;0;0;0;0;0;0;0;0;0
"Sittard-Geleen";0;0;0;2;2;2;0;0;0;0;0;0
"Sliedrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Sluis";0;0;0;0;0;0;0;0;0;0;0;0
"Smallingerland";0;0;0;0;0;0;0;0;2;2;3;4
"Soest";0;0;0;0;0;0;0;0;0;0;0;0
"Someren";3;3;3;3;3;3;3;3;3;3;3;3
"Son en Breugel";0;0;0;0;0;0;0;0;0;0;1;1
"Stadskanaal";0;0;0;0;0;0;0;1;1;1;1;0
"Staphorst";0;0;0;0;0;0;0;0;0;0;0;0
"Stede Broec";0;0;0;0;0;0;0;0;0;0;0;0
"Steenbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Steenwijkerland";0;0;0;0;0;0;0;0;0;0;0;0
"Stein";0;20;20;20;20;0;0;0;0;0;0;0
"Stichtse Vecht";3;3;1;3;3;3;3;5;5;7;6;5
"Súdwest-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Terneuzen";2;2;2;2;2;2;2;2;2;2;5;7
"Terschelling";0;0;0;0;0;0;0;0;0;0;0;0
"Texel";0;0;0;0;0;0;0;0;0;0;0;0
"Teylingen";0;0;0;0;0;0;3;3;3;3;2;0
"Tholen";0;0;0;0;0;0;0;0;0;0;0;0
"Tiel";5;5;3;4;4;4;4;7;7;9;7;4
"Tilburg";5;5;3;5;3;4;4;24;23;11;8;5
"Tubbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Twenterand";0;0;0;0;0;0;0;0;0;0;0;0
"Tynaarlo";11;11;9;11;11;11;8;11;11;11;9;7
"Tytsjerksteradiel";0;0;0;0;0;0;0;0;0;0;0;0
"Uitgeest";0;0;0;0;0;0;0;0;0;0;0;0
"Uithoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Urk";0;0;0;0;0;0;0;0;0;0;0;0
"Utrecht";2;2;2;5;5;5;5;6;6;6;4;2
"Utrechtse Heuvelrug";0;0;0;0;0;0;0;0;0;0;0;0
"Vaals";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenburg aan de Geul";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenswaard";0;0;0;0;0;0;0;0;0;0;0;0
"Veendam";0;0;0;0;0;0;0;0;0;0;0;0
"Veenendaal";6;6;2;6;6;6;6;6;6;12;6;0
"Veere";0;0;0;0;0;0;0;0;0;0;0;0
"Veldhoven";2;2;2;2;2;2;2;2;2;2;2;2
"Velsen";0;0;0;0;0;0;0;1;1;1;1;1
"Venlo";4;4;4;4;4;4;4;4;4;4;4;4
"Venray";0;0;0;0;0;0;0;0;0;0;0;0
"Vijfheerenlanden";0;4;4;4;4;4;4;4;4;4;4;4
"Vlaardingen";3;3;1;5;3;3;3;3;3;3;3;3
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";0;0;0;0;0;0;0;0;0;0;0;0
"Voerendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Voorschoten";2;2;2;2;2;2;2;2;2;2;2;2
"Voorst";0;0;0;0;0;0;0;0;0;0;0;0
"Vught";0;0;0;0;0;0;0;0;0;0;0;0
"Waadhoeke";0;0;0;0;0;0;0;0;0;0;0;0
"Waalre";0;0;0;0;0;0;0;0;0;0;0;0
"Waalwijk";4;4;4;4;4;4;4;4;4;4;6;8
"Waddinxveen";0;0;0;2;2;2;2;2;2;4;2;0
"Wageningen";2;3;3;3;2;2;2;2;2;3;3;3
"Wassenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Waterland";0;0;0;0;0;0;0;0;0;0;0;0
"Weert";0;0;0;0;0;0;0;0;0;0;0;0
"Weesp";1;1;1;1;1;1;1;1;1;1;1;1
"West Betuwe";0;0;0;0;0;0;0;0;0;0;0;0
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";6;0;0;0;0;0;0;0;0;0;0;0
"Westerveld";0;0;0;0;0;0;0;0;0;0;0;0
"Westervoort";0;0;0;0;0;0;0;0;0;0;0;0
"Westerwolde";0;0;0;0;0;0;0;0;0;0;0;0
"Westland";0;0;3;3;3;3;5;5;5;5;6;7
"Weststellingwerf";1;1;1;1;1;1;1;1;1;1;1;1
"Westvoorne";0;0;0;0;0;0;0;0;0;0;0;0
"Wierden";0;0;0;0;0;0;0;0;0;0;0;0
"Wijchen";0;2;2;2;0;0;0;0;0;0;0;0
"Wijdemeren";0;0;0;0;0;0;0;0;0;0;0;0
"Wijk bij Duurstede";0;0;0;0;0;0;0;0;0;0;0;0
"Winterswijk";0;0;0;1;1;1;1;1;1;1;1;1
"Woensdrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Woerden";3;3;1;3;3;4;3;3;3;3;4;4
"Wormerland";0;0;0;0;0;0;0;0;0;0;0;0
"Woudenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Zaanstad";3;3;1;3;3;3;3;3;3;3;4;4
"Zaltbommel";0;4;4;4;8;8;4;4;5;4;4;4
"Zandvoort";0;0;0;0;0;0;0;0;0;0;0;0
"Zeewolde";0;0;0;0;0;0;0;1;0;0;1;2
"Zeist";0;0;0;0;0;0;0;0;0;0;0;0
"Zevenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Zoetermeer";0;0;0;0;0;0;0;0;0;0;2;3
"Zoeterwoude";0;0;0;0;0;0;0;0;0;0;0;0
"Zuidplas";7;7;7;10;10;10;10;10;10;10;9;8
"Zundert";0;0;0;0;0;0;0;0;0;0;0;0
"Zutphen";0;0;0;0;0;0;0;0;0;1;1;1
"Zwartewaterland";0;0;0;0;0;0;0;0;0;0;0;0
"Zwijndrecht";1;1;1;1;1;1;1;1;1;1;1;1
"Zwolle";13;13;11;13;13;13;5;7;7;7;7;7
"Gemeente onbekend";"";"";"";"";"";"";"";"";"";"";"";""
