"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2022"
"De Wolden";0;0;0;0;0;0;0;0;0;0;0;0
"Delft";0;9;14;8;6;6;9;9;9;9;9;9
"Den Haag";1;1;2;2;2;1;1;1;1;1;1;97
"Den Helder";0;0;0;0;0;0;0;0;0;0;0;0
"Deurne";0;0;0;0;1;0;0;0;0;0;0;0
"Deventer";3;3;3;3;23;23;3;3;3;3;6;7
"Diemen";0;0;6;7;1;0;0;0;0;0;12;4
"Dijk en Waard";0;0;2;2;2;0;0;0;0;0;0;0
"Dinkelland";2;0;4;4;2;4;4;2;2;2;2;2
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";2;2;2;2;2;2;2;2;2;2;4;0
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";5;5;5;5;5;5;5;5;5;7;7;7
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";2;0;0;0;0;0;0;0;0;0;0;2
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
"Duiven";3;3;3;3;3;3;3;3;3;3;3;3
"Echt-Susteren";3;3;3;3;3;3;3;3;3;3;0;0
"Edam-Volendam";0;0;0;0;0;0;0;0;0;0;0;0
"Ede";1;1;1;1;2;1;5;5;1;1;1;3
"Eemnes";0;0;0;0;0;0;0;0;0;0;0;0
"Eemsdelta";0;0;0;0;3;0;0;0;0;0;0;0
"Eersel";2;2;2;2;2;2;2;2;2;2;2;2
"Eijsden-Margraten";0;0;0;0;0;0;0;0;0;0;0;0
"Eindhoven";9;9;11;11;7;7;7;5;5;6;6;46
"Elburg";0;0;0;0;0;0;0;0;0;0;0;0
"Emmen";3;1;1;1;1;1;4;4;1;6;3;3
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";4;10;14;12;15;13;13;13;13;14;14;14
"Epe";0;0;0;0;0;0;0;0;0;0;0;2
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";0;0;0;0;0;0;0;0;0;0;0;0
"Geertruidenberg";0;0;0;0;0;0;3;3;3;0;0;0
"Geldrop-Mierlo";0;3;0;0;3;0;3;0;0;0;0;0
"Gemert-Bakel";2;2;2;2;2;2;2;2;2;2;2;0
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";1;0;0;0;0;0;0;0;0;0;0;0
"Goeree-Overflakkee";0;0;0;2;6;6;2;2;2;2;2;2
"Goes";5;5;8;8;8;8;8;6;6;3;4;5
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";1;1;1;1;1;1;1;1;1;1;1;1
"Gorinchem";2;2;2;2;2;2;2;2;2;0;0;0
"Gouda";1;1;1;0;0;3;2;2;2;2;2;4
"Groningen";8;12;12;10;6;8;8;10;13;14;14;28
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";1;1;1;1;1;1;1;0;0;0;0;0
"Haarlem";6;6;6;6;6;6;6;6;4;6;6;4
"Haarlemmermeer";4;17;8;11;5;3;3;3;3;3;3;0
"Halderberge";0;0;0;0;0;0;0;0;0;0;0;0
"Hardenberg";1;1;2;2;2;1;1;1;1;1;3;3
"Harderwijk";3;3;3;3;3;3;3;3;3;3;3;3
"Hardinxveld-Giessendam";0;0;0;0;0;0;0;0;0;0;0;0
"Harlingen";3;3;3;3;3;3;3;3;3;3;3;0
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
"Heemskerk";0;0;0;0;0;0;0;0;0;0;0;0
"Heemstede";0;0;0;0;0;0;0;0;0;0;0;0
"Heerde";0;0;0;0;0;0;0;0;0;0;0;2
"Heerenveen";1;0;2;3;2;2;2;6;4;5;5;5
"Heerlen";3;0;0;0;0;0;2;2;2;0;0;0
"Heeze-Leende";0;0;0;0;0;0;0;0;0;0;0;0
"Heiloo";0;0;0;0;0;0;0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Hellevoetsluis";0;0;0;0;0;0;0;0;0;0;0;0
"Helmond";7;7;7;7;7;7;7;7;7;7;7;7
"Hendrik-Ido-Ambacht";0;1;1;1;1;1;1;1;1;1;1;0
"Hengelo";6;6;6;6;6;6;8;8;8;2;2;11
"Het Hogeland";1;1;1;1;1;1;1;1;1;1;1;1
"Heumen";0;0;0;0;0;0;0;0;0;0;0;0
"Heusden";0;0;0;0;0;0;0;0;0;0;0;0
"Hillegom";0;0;0;0;0;0;0;0;0;0;0;0
"Hilvarenbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Hilversum";3;0;0;0;0;0;0;0;0;0;0;1
"Hoeksche Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Hof van Twente";0;0;0;0;0;0;0;0;0;0;0;0
"Hollands Kroon";0;0;0;0;0;0;0;0;0;0;0;4
"Hoogeveen";0;0;0;0;0;0;0;0;0;0;0;0
"Hoorn";0;0;0;0;1;1;1;1;1;0;0;0
"Horst aan de Maas";1;1;1;1;1;0;0;0;0;0;0;0
"Houten";0;0;0;0;0;0;0;0;0;0;0;0
"Huizen";0;0;1;1;1;0;1;1;1;0;0;0
"Hulst";0;0;0;0;0;0;0;0;0;0;0;0
"IJsselstein";0;0;0;0;0;0;0;0;0;0;0;0
"Kaag en Braassem";0;0;0;0;0;0;0;0;0;0;0;0
"Kampen";0;0;0;0;0;0;0;0;0;0;0;0
"Kapelle";0;0;0;0;0;0;0;0;0;0;0;0
"Katwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Kerkrade";0;0;3;3;0;0;0;0;0;0;0;0
"Koggenland";0;0;0;0;0;0;0;0;0;0;0;0
"Krimpen aan den IJssel";0;0;0;0;0;0;0;1;1;1;1;1
"Krimpenerwaard";0;0;0;0;0;0;0;0;0;0;0;0
"Laarbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Land van Cuijk";0;0;0;0;1;0;0;0;0;0;0;0
"Landgraaf";0;0;0;0;0;0;0;2;2;0;0;0
"Landsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Lansingerland";0;0;26;26;26;26;26;26;29;26;26;0
"Laren";0;0;0;0;0;0;0;0;0;0;0;0
"Leeuwarden";2;2;2;2;1;1;4;6;6;6;6;7
"Leiden";2;2;2;2;2;2;2;2;2;2;2;2
"Leiderdorp";0;0;0;0;0;0;0;0;0;0;0;0
"Leidschendam-Voorburg";0;0;0;0;0;0;0;0;0;0;0;0
"Lelystad";0;0;0;0;4;4;4;0;0;0;4;11
"Leudal";0;0;0;0;0;0;0;0;0;0;0;0
"Leusden";1;0;0;0;0;0;0;0;0;0;0;0
"Lingewaard";0;0;0;0;0;0;0;0;0;0;0;0
"Lisse";0;0;0;0;0;0;0;0;0;0;0;0
"Lochem";1;0;0;2;2;2;2;2;0;0;0;0
"Loon op Zand";2;0;0;2;3;2;2;0;2;2;0;0
"Lopik";0;0;0;0;0;0;0;0;0;0;0;0
"Losser";0;0;0;0;0;0;0;0;0;0;0;0
"Maasdriel";2;2;2;2;2;2;2;1;1;1;1;1
"Maasgouw";0;0;0;0;0;0;0;0;0;0;0;0
"Maashorst";1;1;1;1;1;0;0;1;1;1;1;1
"Maassluis";0;0;0;0;0;0;0;0;0;0;0;0
"Maastricht";3;3;3;3;3;3;27;27;27;7;7;59
"Medemblik";0;0;0;0;0;0;0;0;0;0;0;0
"Meerssen";0;0;0;0;0;0;0;0;0;0;0;0
"Meierijstad";0;0;0;0;0;0;0;0;0;0;0;0
"Meppel";0;0;0;0;0;0;0;0;0;0;0;0
"Middelburg";3;7;4;4;0;0;0;0;0;0;0;0
"Midden-Delfland";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Drenthe";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Groningen";0;0;0;0;0;0;0;0;0;0;0;0
"Moerdijk";2;2;2;2;0;2;2;2;2;2;2;0
"Molenlanden";3;3;3;3;3;3;3;3;3;3;3;5
"Montferland";0;0;0;0;0;2;2;2;2;2;2;2
"Montfoort";0;0;0;0;0;0;0;0;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0;0;0;0;0;0;0
"Neder-Betuwe";0;0;0;0;0;0;0;0;0;0;0;0
"Nederweert";0;0;0;0;0;0;0;0;0;0;0;0
"Nieuwegein";0;0;1;1;1;0;0;0;0;0;0;11
"Nieuwkoop";0;2;2;2;2;2;2;0;0;0;0;0
"Nijkerk";0;3;0;0;0;0;0;0;0;0;0;0
"Nijmegen";9;9;11;10;7;7;9;13;13;10;9;9
"Nissewaard";6;3;6;8;3;3;3;3;3;3;3;2
"Noardeast-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Noord-Beveland";0;0;0;0;0;0;0;0;0;0;0;0
"Noordenveld";0;0;0;0;0;0;0;0;0;0;0;0
"Noordoostpolder";1;1;1;1;1;0;0;0;0;0;0;0
"Noordwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Nuenen, Gerwen en Nederwetten";0;0;0;0;0;1;1;1;1;0;0;0
"Nunspeet";0;0;0;0;0;0;0;0;0;0;0;0
"Oegstgeest";0;3;3;3;0;0;0;0;0;0;3;3
"Oirschot";0;0;0;0;0;0;0;0;0;0;0;0
"Oisterwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Oldambt";0;0;0;0;0;0;0;0;0;0;0;2
"Oldebroek";0;0;0;0;0;0;0;0;0;0;0;0
"Oldenzaal";0;0;0;0;0;0;0;0;0;0;0;0
"Olst-Wijhe";0;0;0;0;0;0;0;0;0;0;0;0
"Ommen";0;0;0;0;0;0;0;0;0;0;0;0
"Oost Gelre";0;0;0;0;0;0;0;0;0;0;0;0
"Oosterhout";1;1;1;1;1;0;0;0;0;0;0;0
"Ooststellingwerf";0;0;0;0;0;0;0;0;0;0;0;0
"Oostzaan";0;0;0;0;0;0;0;2;0;0;0;0
"Opmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Opsterland";0;0;0;0;0;2;2;5;2;2;5;2
"Oss";2;2;2;2;2;2;4;4;4;4;4;4
"Oude IJsselstreek";0;0;0;0;0;0;0;0;0;0;0;0
"Ouder-Amstel";0;0;0;0;0;0;0;0;0;0;0;0
"Oudewater";0;0;0;0;0;0;0;0;0;0;0;0
"Overbetuwe";0;0;0;0;0;0;0;0;0;0;0;0
"Papendrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Peel en Maas";2;2;2;2;2;2;0;0;0;0;0;0
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";0;0;0;0;0;0;0;0;0;0;0;0
"Purmerend";0;0;0;0;0;0;0;0;0;1;3;1
"Putten";2;0;1;1;0;0;0;0;0;0;0;0
"Raalte";0;0;0;0;0;0;0;0;0;0;0;0
"Reimerswaal";2;2;0;2;0;2;2;2;2;2;2;2
"Renkum";0;0;0;0;0;0;0;0;0;0;0;0
"Renswoude";0;0;0;0;0;0;0;0;0;0;0;0
"Reusel-De Mierden";0;0;0;0;0;0;0;0;0;0;0;0
"Rheden";0;0;0;0;0;0;2;2;2;2;2;2
"Rhenen";0;0;0;0;0;0;0;0;0;0;0;0
"Ridderkerk";0;0;0;0;0;0;0;0;0;0;0;0
"Rijssen-Holten";0;0;0;0;0;0;0;0;0;0;0;0
"Rijswijk";0;0;0;0;0;0;0;0;0;0;0;2
"Roerdalen";0;0;0;0;0;0;0;0;0;0;0;0
"Roermond";0;0;0;0;0;0;0;0;0;0;0;4
"Roosendaal";1;1;1;1;1;0;0;0;0;0;0;2
"Rotterdam";1;10;10;7;14;16;22;16;11;6;8;71
"Rozendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Rucphen";0;0;0;0;0;0;0;0;0;0;0;0
"Schagen";0;0;0;0;0;0;3;3;3;3;3;3
"Scherpenzeel";0;0;0;0;0;0;0;0;0;0;0;0
"Schiedam";3;3;2;19;18;18;3;3;3;3;3;16
"Schiermonnikoog";0;0;0;0;0;0;0;0;0;0;0;0
"Schouwen-Duiveland";0;2;2;2;2;2;2;2;2;2;4;2
"'s-Hertogenbosch";6;6;6;6;6;6;6;8;8;8;8;16
"Simpelveld";0;0;0;0;0;0;0;0;0;0;0;0
"Sint-Michielsgestel";0;0;0;0;0;0;0;0;0;0;0;0
"Sittard-Geleen";0;3;0;3;0;0;0;0;0;0;0;0
"Sliedrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Sluis";0;0;0;0;0;0;0;0;0;0;0;0
"Smallingerland";4;4;4;2;2;2;8;8;10;8;8;8
"Soest";0;0;0;0;0;0;0;0;0;0;0;2
"Someren";2;3;3;3;3;3;3;3;3;3;3;3
"Son en Breugel";1;1;1;1;1;0;0;0;0;0;0;0
"Stadskanaal";0;0;0;0;0;0;0;0;0;0;0;0
"Staphorst";0;0;0;0;0;0;0;0;0;0;0;0
"Stede Broec";0;0;0;0;0;0;0;0;0;0;0;0
"Steenbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Steenwijkerland";0;0;0;0;0;0;0;0;0;0;0;0
"Stein";0;0;0;0;0;0;0;0;0;0;0;0
"Stichtse Vecht";5;5;5;5;5;2;5;5;5;5;5;5
"Súdwest-Fryslân";0;0;0;0;0;0;0;0;0;0;3;3
"Terneuzen";7;3;3;7;8;6;6;6;6;6;6;4
"Terschelling";0;0;0;0;0;0;0;0;0;0;0;0
"Texel";0;0;0;0;1;0;0;0;0;0;0;0
"Teylingen";0;0;0;0;0;0;0;0;0;0;0;0
"Tholen";0;0;0;0;0;0;0;0;0;0;0;0
"Tiel";4;7;7;7;3;4;3;6;6;6;6;6
"Tilburg";6;10;7;7;8;8;11;8;20;19;19;17
"Tubbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Twenterand";0;0;2;2;2;2;2;2;2;2;2;2
"Tynaarlo";7;7;7;3;3;3;3;3;3;3;3;3
"Tytsjerksteradiel";0;0;0;0;0;0;0;0;0;0;0;0
"Uitgeest";0;0;0;0;0;0;0;0;0;0;0;0
"Uithoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Urk";0;0;0;0;0;0;0;0;0;0;0;0
"Utrecht";3;4;16;17;17;17;17;17;17;5;5;60
"Utrechtse Heuvelrug";0;0;0;0;0;0;0;0;0;0;0;0
"Vaals";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenburg aan de Geul";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenswaard";0;0;0;0;0;0;0;0;0;0;0;0
"Veendam";0;0;0;0;1;0;0;0;0;0;0;0
"Veenendaal";0;0;6;6;6;6;6;0;0;0;0;10
"Veere";0;0;0;0;0;0;0;0;0;0;0;0
"Veldhoven";2;2;2;2;2;2;2;2;2;2;2;2
"Velsen";1;1;1;1;1;1;1;1;1;1;1;3
"Venlo";0;2;0;0;1;0;0;2;2;0;0;21
"Venray";0;0;0;0;2;2;2;2;2;2;2;2
"Vijfheerenlanden";0;0;3;3;3;3;3;3;3;0;0;0
"Vlaardingen";3;3;3;3;3;3;3;3;3;3;3;4
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";0;0;0;0;0;0;0;0;0;0;0;0
"Voerendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Voorschoten";2;2;2;3;2;1;1;1;1;1;1;1
"Voorst";0;0;0;0;0;0;0;0;0;0;0;0
"Vught";0;0;0;0;0;0;0;0;0;0;0;0
"Waadhoeke";0;0;0;0;0;0;0;0;0;0;0;0
"Waalre";0;0;0;0;0;0;0;0;0;0;0;0
"Waalwijk";0;0;0;0;0;0;1;1;1;1;1;1
"Waddinxveen";0;2;4;4;4;4;4;4;4;2;2;2
"Wageningen";3;3;3;3;3;2;2;2;2;2;2;2
"Wassenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Waterland";0;0;0;0;0;0;0;0;0;0;0;0
"Weert";0;0;0;0;0;0;0;0;16;16;16;16
"Weesp";1;1;1;1;1;"";"";"";"";"";"";""
"West Betuwe";2;0;0;0;0;0;0;0;0;0;0;0
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";0;0;0;0;0;0;0;0;0;0;0;0
"Westerveld";0;0;0;0;0;0;0;0;0;0;0;0
"Westervoort";0;0;0;0;0;0;0;0;0;0;0;0
"Westerwolde";0;0;0;0;0;0;0;0;0;0;0;0
"Westland";6;7;7;6;7;7;6;6;6;6;6;7
"Weststellingwerf";1;1;1;1;1;0;0;0;0;0;0;0
"Westvoorne";0;0;0;0;0;0;0;0;0;0;0;0
"Wierden";0;0;0;0;0;0;0;0;0;0;0;0
"Wijchen";0;0;1;1;1;0;0;0;0;0;0;0
"Wijdemeren";0;0;0;0;0;0;0;0;0;0;0;0
"Wijk bij Duurstede";0;0;0;0;0;0;0;0;0;0;0;0
"Winterswijk";1;1;1;1;1;1;1;1;1;1;1;1
"Woensdrecht";0;0;0;0;0;0;0;0;4;4;4;0
"Woerden";4;7;7;7;7;7;7;7;7;7;7;7
"Wormerland";0;0;0;0;0;0;0;0;0;0;0;0
"Woudenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Zaanstad";2;0;2;3;1;1;1;1;5;5;6;31
"Zaltbommel";0;0;0;0;3;2;2;2;2;2;2;2
"Zandvoort";0;0;0;0;0;0;0;0;0;0;0;0
"Zeewolde";2;0;0;0;0;0;0;0;0;0;0;0
"Zeist";0;1;1;1;3;2;2;2;2;2;2;0
"Zevenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Zoetermeer";3;3;5;3;5;5;5;5;5;5;5;3
"Zoeterwoude";0;0;0;0;0;0;0;0;0;1;1;1
"Zuidplas";4;4;4;1;1;1;1;1;1;1;1;0
"Zundert";0;0;0;0;0;0;0;0;0;0;0;0
"Zutphen";1;1;1;1;1;1;1;1;0;0;0;0
"Zwartewaterland";0;0;0;0;0;0;0;0;0;0;0;0
"Zwijndrecht";1;1;1;1;1;1;1;1;1;3;3;3
"Zwolle";5;7;7;7;2;2;2;2;2;2;2;18
"Gemeente onbekend";"";"";0;0;"";0;0;"";"";0;"";""
