"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2020"
"Nissewaard";3;3;3;3;3;3;3;3;3;3;3;6
"Noardeast-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Noord-Beveland";0;0;0;0;0;0;0;0;0;0;0;0
"Noordenveld";0;0;0;0;0;0;0;0;0;0;0;0
"Noordoostpolder";0;0;0;0;0;0;0;0;0;0;0;0
"Noordwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Nuenen, Gerwen en Nederwetten";1;1;1;1;1;1;0;0;0;0;0;0
"Nunspeet";0;3;0;0;0;0;0;0;0;0;0;0
"Oegstgeest";2;2;2;2;0;0;2;2;2;3;3;3
"Oirschot";0;0;0;0;0;0;0;0;0;0;0;0
"Oisterwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Oldambt";0;0;0;0;0;0;0;0;0;0;0;0
"Oldebroek";0;0;0;0;0;0;0;0;0;0;0;0
"Oldenzaal";0;0;0;0;0;0;0;0;0;0;0;0
"Olst-Wijhe";0;0;0;0;0;0;0;0;0;0;0;0
"Ommen";0;0;0;0;0;0;0;0;0;0;0;0
"Oost Gelre";0;0;0;0;0;0;0;0;0;0;0;0
"Oosterhout";0;0;0;0;0;0;0;0;0;0;0;0
"Ooststellingwerf";0;0;0;0;0;0;0;0;0;0;0;0
"Oostzaan";0;0;0;1;1;1;1;1;1;1;1;1
"Opmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Opsterland";0;0;0;0;0;0;2;2;2;3;3;3
"Oss";0;0;0;0;0;0;0;1;2;2;2;2
"Oude IJsselstreek";0;0;0;0;0;0;0;0;0;0;0;0
"Ouder-Amstel";4;0;0;0;0;0;0;0;0;0;0;0
"Oudewater";0;0;0;0;0;0;0;0;0;0;0;0
"Overbetuwe";0;0;0;0;0;0;0;0;0;0;0;3
"Papendrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Peel en Maas";0;0;0;0;0;0;0;0;0;0;0;0
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";1;1;1;1;1;1;1;0;0;0;0;0
"Purmerend";0;0;0;0;0;0;0;0;0;0;0;3
"Putten";0;0;0;0;3;0;0;0;0;0;0;3
"Raalte";0;0;0;0;0;0;0;0;0;0;0;0
"Reimerswaal";0;0;0;0;0;0;0;0;0;0;0;0
"Renkum";0;0;0;0;0;0;0;0;0;0;0;0
"Renswoude";0;0;0;0;0;0;0;0;0;0;0;0
"Reusel-De Mierden";0;0;0;0;0;0;0;0;0;0;0;0
"Rheden";0;0;0;0;0;0;0;0;0;0;0;0
"Rhenen";0;0;0;0;0;0;0;0;0;0;0;0
"Ridderkerk";0;0;0;0;0;0;0;0;0;0;0;0
"Rijssen-Holten";0;0;0;0;0;0;1;1;1;2;0;0
"Rijswijk";0;0;0;0;0;0;2;2;2;3;3;3
"Roerdalen";0;0;0;0;0;0;0;0;0;0;0;0
"Roermond";0;0;0;0;0;0;0;0;0;0;0;0
"Roosendaal";1;1;1;1;1;1;0;0;0;0;0;0
"Rotterdam";5;6;6;12;6;6;5;5;5;10;10;10
"Rozendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Rucphen";0;0;0;0;0;0;0;0;0;0;0;0
"Schagen";0;0;0;0;0;0;0;0;0;0;0;3
"Scherpenzeel";0;0;0;0;0;0;0;0;0;0;0;0
"Schiedam";8;9;9;9;9;9;0;0;0;0;0;4
"Schiermonnikoog";0;0;0;0;0;0;0;0;0;0;0;0
"Schouwen-Duiveland";0;0;0;0;0;0;0;0;0;0;0;0
"'s-Hertogenbosch";8;8;8;8;4;4;6;6;6;8;8;8
"Simpelveld";0;0;0;0;0;0;0;0;0;0;0;0
"Sint-Michielsgestel";0;0;0;0;0;0;0;0;0;0;0;0
"Sittard-Geleen";0;0;0;0;0;0;0;0;0;0;0;0
"Sliedrecht";1;1;1;1;1;1;0;0;0;0;0;0
"Sluis";0;0;0;0;0;0;0;0;0;0;0;0
"Smallingerland";1;3;1;1;1;1;0;0;0;0;0;0
"Soest";0;0;0;0;0;0;0;0;0;2;2;2
"Someren";0;0;0;0;0;0;0;0;0;0;0;0
"Son en Breugel";0;0;0;0;0;0;0;0;0;0;0;0
"Stadskanaal";0;0;0;0;0;0;0;0;0;0;0;0
"Staphorst";0;0;0;0;0;0;0;0;0;0;0;0
"Stede Broec";0;0;0;0;0;0;0;0;0;0;0;0
"Steenbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Steenwijkerland";0;0;0;0;0;2;2;2;2;2;0;0
"Stein";0;0;0;0;0;0;0;0;0;0;0;0
"Stichtse Vecht";1;1;1;1;1;1;0;0;0;3;3;3
"Súdwest-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Terneuzen";2;2;2;2;0;0;0;0;1;1;2;2
"Terschelling";0;0;0;0;0;0;0;0;0;0;0;0
"Texel";0;0;0;0;0;0;0;0;0;0;0;0
"Teylingen";1;1;1;1;1;1;0;0;0;0;0;0
"Tholen";0;0;0;0;0;0;0;0;0;0;0;0
"Tiel";5;5;5;5;1;1;2;2;2;3;3;4
"Tilburg";3;3;3;3;3;3;3;3;3;3;3;6
"Tubbergen";0;0;0;0;0;0;0;0;0;0;0;0
