Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
3815;11185;50;50;2662
3816;11455;50;50;2805
3817;11870;60;40;2565
3818;10650;70;30;1703
3819;485;10;90;683
3821;425;20;80;1386
3822;7785;70;30;2097
3823;11105;70;30;2194
3824;14590;80;20;1697
3825;14460;70;30;1802
3826;7465;60;40;1429
3828;10260;80;20;1683
3829;4935;80;20;1143
3831;13340;70;30;1555
3832;5180;80;20;662
3833;7040;70;30;1470
3834;2075;80;20;1394
3835;355;90;10;245
3836;135;80;20;223
3841;6065;50;50;1907
3842;6660;50;50;2296
3843;6800;50;50;1674
3844;9170;60;40;1592
3845;10475;70;30;1354
3846;1355;70;30;705
3847;875;80;20;778
3848;4065;70;30;1284
3849;3255;80;20;238
3851;11595;60;40;1307
3852;5375;60;40;581
3853;10045;60;40;800
3861;9045;60;40;1297
3862;12980;70;30;1256
3863;7830;70;30;1076
3864;4170;70;30;364
3871;9575;80;20;977
3881;10940;70;30;880
3882;13405;70;30;954
3886;2150;70;20;227
3888;3330;70;30;170
3891;5005;60;40;1246
3892;5320;70;30;976
3893;6185;80;20;1007
3894;4360;70;30;862
3896;470;70;20;216
3897;1280;80;20;92
3898;185;80;20;32
3899;70;30;70;129
3901;9955;40;60;3246
3902;10400;60;40;2088
3903;7260;70;30;1510
3904;13500;60;40;2134
3905;13965;60;40;2362
3906;6895;80;20;1371
3907;4940;70;30;891
3911;14940;60;40;1040
3912;610;60;40;1282
3921;4265;70;30;503
3922;395;90;10;280
3925;10130;70;30;934
3927;5560;70;30;519
3931;13635;70;30;973
3941;10265;60;40;542
3945;3280;70;30;372
3947;2430;70;30;202
3951;4665;80;20;485
3953;1370;70;30;123
3956;7665;70;30;691
3958;5415;60;40;710
3959;1580;90;10;194
3961;9470;60;40;1356
3962;8750;80;20;1439
3971;8080;70;30;1021
3972;10905;60;40;1331
3981;7085;70;30;742
3984;5745;70;30;731
3985;2525;80;20;263
3989;15;-99997;-99997;67
3991;18075;80;20;1640
3992;5960;70;30;1534
3993;4965;50;50;1543
3994;13945;70;30;1561
3995;3790;30;70;2198
3997;640;80;20;83
3998;2085;80;20;138
3999;765;80;20;59
4001;10715;40;60;2060
4002;2250;60;40;1589
4003;7930;50;50;1153
4004;60;50;50;228
4005;5760;60;40;1563
4006;3485;20;80;1311
4007;9590;80;20;1010
4011;1715;80;20;121
4012;1390;80;20;175
4013;710;90;10;157
4014;1120;80;20;140
4016;175;90;10;33
4017;145;70;-99997;521
4021;4690;70;30;448
4023;655;70;30;56
4024;1625;80;20;167
4031;2155;70;30;174
4032;720;80;20;81
4033;5840;70;30;390
4041;6560;70;30;526
4043;6350;60;40;523
4051;5075;70;30;456
4053;1180;70;30;118
4054;1045;80;20;93
4061;1665;80;20;140
4062;160;90;10;223
4063;425;70;30;64
4064;1070;80;20;125
4101;7535;60;40;1683
4102;7915;50;50;1580
4103;1475;80;20;1595
4104;75;60;40;791
4105;10645;70;30;1418
4106;960;80;20;702
4107;515;90;10;181
4111;650;90;10;120
4112;3265;80;20;391
4115;390;80;20;62
4116;2665;70;30;293
4117;500;80;20;103
4119;500;80;20;58
4121;1195;80;20;109
4122;865;80;20;108
4124;1455;80;20;254
4125;1935;80;20;408
4126;995;70;30;89
4128;2955;70;30;256
4131;4170;40;60;1067
4132;4790;70;30;1362
4133;7485;70;30;968
4141;5335;70;30;1605
4142;7010;30;70;1374
4143;6580;60;40;1245
4145;1655;80;20;162
4147;3215;70;30;547
4151;580;80;20;116
4152;905;80;20;130
4153;3350;70;30;443
4155;345;90;10;123
4156;900;80;20;213
4157;595;70;30;102
4158;2040;80;20;249
4161;2385;70;30;308
4163;240;90;10;371
4171;2740;70;30;248
4174;1020;70;30;95
4175;2840;60;40;350
4176;1080;80;20;189
4181;2365;70;30;269
4182;455;90;10;65
4184;1190;80;20;142
4185;570;80;20;67
4191;10860;70;30;930
