"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"1401 Brediuskw/Verbindingslaan";66;65;65;66;68;68;69;70;71;74;75;78
"1402 Centrum/Eng";79;79;81;78;81;83;85;87;88;92;97;105
"1403 Ooster-/Midden-/Wester Eng";38;40;46;48;49;51;51;57;57;56;55;57
"1404 Centrum/Brediuskw";27;27;28;28;29;29;28;29;32;33;34;34
"1405 Lomanplein/Schimmellaan/Boslaan";40;41;42;43;43;44;44;44;46;48;49;51
"1406 Koedk/Bieghel/Meijerkamp/Fr Kamp/Spiegelz";49;50;52;52;53;56;57;60;62;64;66;65
"1411 Vesting";101;100;102;102;105;111;114;118;127;130;138;151
"1412 Parken/Naardermeer/Zuidwest III";70;70;74;81;81;85;84;92;96;98;99;100
"1421 Centrum/Thamerdal";32;33;35;38;38;40;42;44;46;47;48;49
"1422 Zijdelwaard/Legmeer/Noorddam/Europarei";95;98;102;106;108;106;120;123;132;138;144;163
"1423 Meerwijk";43;44;46;46;46;50;54;53;54;58;60;61
"1424 De Kwakel";63;64;66;68;72;75;77;75;79;80;79;81
"1426 De Hoef";17;18;27;28;27;27;27;27;27;28;32;34
"1427 Amstelhoek";10;11;11;11;11;11;11;11;12;13;13;14
"1428 Vrouwenakker";2;2;2;2;2;2;2;2;3;3;3;3
"1431 Aalsmeer";133;133;133;126;129;131;131;142;148;158;165;182
"1432 Oosteinde";124;129;133;135;134;143;148;150;155;167;171;178
"1433 Kudelstaart";48;49;49;50;50;52;55;57;63;63;65;70
"1435 Rijsenhout";37;40;40;44;45;46;46;48;50;54;55;57
"1436 Aalsmeerderbrug";5;5;5;5;5;5;5;5;5;5;5;5
"1437 Rozenburg";12;12;12;10;7;7;10;11;10;10;10;11
"1438 Oude Meer";4;5;5;5;5;5;5;5;5;5;5;8
"1441 Purmerend";105;106;109;107;106;108;112;120;124;129;135;137
"1442 Overwhere-Z";66;71;71;81;78;83;81;82;85;79;81;81
"1443 De Wheermolen";25;26;27;26;25;25;27;27;29;30;30;29
"1444 Overwhere-N";20;21;24;22;24;25;25;25;25;23;24;24
"1445 Purmer-N";43;44;46;44;44;41;44;46;45;44;43;46
"1446 Landelijk gebied Purmer-N";201;187;182;180;159;178;180;169;197;192;197;227
"1447 Purmer-Z";60;60;60;64;65;67;71;75;76;78;83;93
"1448 Melkweg";93;96;100;100;106;108;111;120;123;127;128;133
"1451 Purmerland";4;4;4;4;4;4;5;5;5;5;5;5
"1452 Ilpendam";22;22;22;22;22;22;23;25;26;30;31;33
"1454 Watergang";11;13;13;16;16;16;15;17;17;17;17;17
"1456 Wijdewormer/Jisp";18;19;20;21;21;23;24;24;24;24;26;26
"1458 Spijkerboor";4;4;4;4;4;4;4;5;5;5;5;5
"1461 Zuidoostbeemster";42;42;42;42;46;46;47;55;58;67;68;74
"1462 Middenbeemster";43;43;46;46;45;46;48;48;52;53;54;59
"1463 Noordbeemster";13;13;13;13;11;11;11;11;11;12;13;14
"1464 Westbeemster";9;9;10;11;12;12;12;12;12;12;14;16
"1471 Kwadijk";5;5;5;6;7;8;10;10;10;10;10;11
"1472 Middelie";7;7;7;7;7;7;7;7;8;9;11;11
"1473 Warder";9;9;9;9;9;10;11;11;11;11;11;11
"1474 Oosthuizen";28;28;29;31;31;31;31;32;32;35;36;40
"1475 Beets";5;6;6;6;6;7;7;7;7;10;10;10
"1476 Schardam";3;4;4;4;4;4;5;5;5;5;5;5
"1477 Hobrede";6;6;7;7;7;7;7;7;7;7;7;7
"1481 Purmer";3;3;3;3;3;3;3;3;3;3;3;3
"1482 De Purmer (ged)";4;4;6;6;6;6;6;6;6;6;6;6
"1483 De Rijp";36;35;37;37;38;38;40;40;41;42;44;47
"1484 Graft";3;3;3;3;3;3;3;3;3;3;3;3
"1485 Noordeinde";"";"";"";"";"";"";1;1;1;1;1;1
"1486 West-Graftdijk";11;12;13;13;13;13;14;14;14;15;15;15
"1487 Oost-Graftdijk";0;0;0;0;0;0;0;0;0;0;0;0
"1488 Starnmeer";1;1;1;1;1;1;1;1;1;1;1;1
"1489 De Woude";2;2;2;2;2;2;2;2;2;2;2;2
"1501 Transvaal-/Burgem-/Keppler-/P Hendrik-/Mz";21;21;26;26;30;30;32;36;38;39;42;41
"1502 Rosmolen-/Scheepmakersbrt";56;56;55;56;53;53;56;62;64;70;71;70
"1503 Nieuw-oost/Kalf";29;31;29;30;32;37;37;37;41;41;42;43
"1504 Poelenburg";24;24;25;24;23;24;26;27;27;32;29;30
"1505 Oud-oost";32;34;35;35;34;34;36;37;39;41;42;46
"1506 West";108;114;116;116;120;121;123;122;122;123;131;143
"1507 Westzijderveld";79;81;84;85;86;86;87;88;90;94;97;108
"1508 Juliana-/Boerejonkerbrt/Kogerveld";25;25;27;28;28;28;26;26;26;26;26;27
"1509 Kalf/Zaanse Schans";35;36;35;36;37;37;35;37;39;41;43;44
"1511 Oostzaan";99;99;107;107;111;112;117;121;131;141;144;148
"1521 Wormerveer";102;103;103;106;108;110;115;119;122;129;138;155
"1525 West-Knollendam";8;8;8;8;8;8;8;8;8;8;8;9
"1531 Wormer";79;78;81;83;86;88;94;101;105;109;111;116
"1534 Oost-Knollendam";8;8;8;8;8;8;8;8;7;7;7;7
"1536 Marken-binnen";6;6;6;6;6;6;6;8;8;8;9;9
"1541 Koog aan de Zaan";45;46;46;48;52;53;59;61;69;72;72;72
"1544 Zaandijk";37;37;38;39;39;40;43;45;46;47;51;50
"1546 Jisp";17;17;17;17;17;18;19;20;20;20;21;21
"1551 Westzaan";45;47;49;50;51;52;54;56;59;65;66;67
"1561 Krommenie";40;41;42;43;46;46;46;46;48;48;48;50
"1562 Krommeniedijk/Noorder-/Zuiderham/Rosarium";36;37;38;38;39;39;41;40;40;41;45;46
"1566 Assendelft";99;101;103;103;102;105;109;112;115;115;119;121
"1567 Assendelft";47;48;48;49;49;51;53;61;64;67;68;75
"1601 Enkhuizen";41;42;44;44;47;52;51;54;55;53;55;58
"1602 Noord";38;39;39;42;45;45;48;47;48;57;60;61
"1606 Venhuizen";29;31;31;32;31;33;34;36;36;38;38;39
"1607 Hem/De Hout/Blokwijk";19;19;20;21;22;22;23;25;26;28;29;33
"1608 Wijdenes";13;13;13;13;12;13;12;12;12;12;12;12
"1609 Oosterleek";2;3;3;3;3;3;3;3;3;3;3;3
"1611 Bovenkarspel";45;47;46;45;47;50;48;50;51;55;56;57
"1613 Grootebroek";44;44;46;46;48;51;53;53;56;60;62;66
"1614 Lutjebroek";10;10;10;10;11;11;12;13;14;14;15;18
"1616 Hoogkarspel";34;35;37;38;40;39;41;47;46;46;46;47
"1617 Westwoud";8;8;9;9;11;11;11;13;13;13;13;14
"1619 Andijk";58;59;61;62;65;65;73;76;79;80;85;88
"1621 Sportbuurt";49;49;49;48;46;45;47;47;47;51;54;59
"1622 Grote Waal";27;28;31;32;31;31;36;37;39;40;40;41
"1623 Parkbuurt";13;13;14;16;16;15;15;16;17;16;17;17
"1624 Nieuwe ziekenhuis";55;61;57;56;52;53;51;51;58;59;57;61
"1625 Risdam-Z";41;41;43;44;44;46;48;50;52;53;54;57
"1627 Lagewegkw";8;10;10;11;11;11;11;11;11;11;13;14
"1628 Kersenboogerd";75;78;82;84;88;91;99;102;108;121;124;130
"1631 Oudendijk";7;8;10;11;11;10;11;12;13;14;14;13
"1633 Avenhorn";21;21;22;22;22;22;22;23;25;26;28;30
"1634 Scharwoude";5;5;5;5;5;6;6;5;5;7;7;7
"1636 Schermerhorn";6;6;6;6;6;6;6;6;8;8;8;8
"1641 Spierdijk";6;6;6;6;6;6;5;5;4;4;4;4
"1642 Spierdijk";"";"";"";"";"";"";1;1;1;1;1;2
"1643 Spierdijk-noord";7;7;7;8;8;8;8;8;8;8;8;8
"1645 Wester-Koggenland";18;17;17;17;17;17;18;19;19;20;21;21
"1646 Ursem";2;2;2;2;2;2;2;2;3;3;3;3
"1647 Berkhout";13;13;13;13;16;17;19;20;20;22;22;24
"1648 De Goorn";33;34;34;36;36;38;38;38;40;40;40;41
"1652 Zuidermeer";2;2;2;2;2;2;1;2;3;4;4;4
"1654 Benningbroek";5;6;6;6;6;7;7;8;8;9;9;9
"1655 Sybekarspel";6;6;6;6;6;7;8;8;8;9;9;9
"1657 Abbekerk";12;12;12;12;12;12;12;12;12;12;13;13
"1658 Lambertschaag";0;0;0;0;0;0;0;0;1;1;1;1
"1661 De Weere";2;2;3;3;3;3;3;3;3;4;4;4
"1662 Gouwe-Noord";2;2;2;2;2;2;2;2;2;2;2;2
"1663 de Weere";"";"";"";"";"";"";"";"";"";"";"";""
"1671 Medemblik";34;35;35;36;36;39;43;44;46;50;53;55
"1674 Opperdoes";13;13;13;12;12;12;12;13;14;14;15;16
"1676 Twisk";6;6;7;7;8;10;10;13;15;15;16;17
"1678 Oostwoud";8;7;6;6;6;6;6;6;6;8;8;9
"1679 Midwoud";13;13;13;13;14;15;15;16;17;17;16;17
"1681 Zwaagdijk-O";11;10;10;11;12;13;14;15;15;16;17;19
"1682 Zwaagdijk-2 (Wervershoof)";2;2;2;2;2;2;3;3;3;3;1;1
"1683 Zwaagdijk-3 (Wervershoof)";1;1;1;0;0;0;0;0;0;0;0;0
"1684 Zwaagdijk-oost";6;6;6;6;6;6;6;6;6;6;7;7
"1685 Zwaagdijk-west";2;2;2;2;2;2;2;2;2;2;2;2
"1686 Zwaagdijk-6 (Wognum)";"";"";"";"";"";"";"";1;1;1;1;1
"1687 Wognum";63;64;68;68;67;67;67;68;69;75;76;78
"1688 Nibbixwoud";12;12;12;13;13;13;14;13;13;13;15;15
"1689 Zwaag";131;133;138;136;137;141;145;146;161;164;170;186
"1691 Hauwert";3;3;3;3;3;3;3;3;4;4;6;6
