"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"5237 Maasvallei/-oever";54;54;57;57;58;58;62;65;71;75;78;79
"5241 Rosmalen";45;46;46;46;47;47;49;50;52;52;51;58
"5242 Molenhoek";48;52;51;51;52;55;57;57;61;64;66;69
"5243 Kruisstraat";10;9;9;10;8;8;9;8;9;9;9;10
"5244 Sparrenburg";18;18;19;19;19;18;18;19;20;19;19;19
"5245 Rosmalen";18;18;19;22;21;22;24;26;29;31;33;34
"5246 Hintham";48;49;51;53;52;54;52;51;56;59;59;65
"5247 Rosmalen-noord";38;40;41;42;43;57;59;65;69;72;75;82
"5248 Maliskamp";21;21;21;21;37;38;39;43;44;46;50;52
"5249 Kruisstraat";11;11;11;11;11;11;11;11;12;12;12;13
"5251 Vlijmen";72;74;79;81;85;87;89;91;95;102;105;111
"5252 Vlijmen";4;4;4;4;4;4;4;4;4;7;8;8
"5253 Nieuwkuijk";18;18;18;18;18;17;18;18;23;23;23;26
"5254 Haarsteeg";22;22;22;22;22;22;23;38;41;41;42;45
"5255 Herpt";12;12;12;13;13;12;12;13;13;13;13;13
"5256 Heusden";12;12;9;9;9;9;10;12;12;12;13;14
"5257 Hedikhuizen";4;4;4;4;4;4;4;4;4;4;4;4
"5258 Berlicum";76;77;81;81;80;82;86;88;90;92;93;100
"5261 Centrum/Voorburg/Taalstraat";57;56;58;59;59;61;64;65;69;76;77;78
"5262 Baarzen/Vijverhof/Schoonveld";75;75;75;75;74;77;80;80;86;92;96;98
"5263 Loyola/Villapark/Lunetten";62;64;65;66;67;70;74;75;76;82;82;85
"5264 Gement";3;3;4;4;4;4;4;4;4;4;4;4
"5266 Cromvoirt";12;12;13;15;15;16;16;15;15;15;15;16
"5268 Helvoirt";45;48;48;49;52;56;56;58;59;59;60;64
"5271 St Michielsgestel";67;70;71;69;69;72;77;76;82;89;92;97
"5272 Venkant/Beekkant/Beekvliet";8;7;7;7;8;8;8;8;8;8;8;8
"5275 Den Dungen";35;35;35;35;37;37;39;40;41;44;44;47
"5281 Centrum";54;56;55;52;55;52;55;59;60;63;63;68
"5282 Noord";36;38;39;40;40;39;40;41;41;41;46;47
"5283 Oost/Munsel/Selissen";63;64;66;67;71;76;82;79;82;87;89;91
"5291 Gemonde";10;10;10;10;10;10;10;10;12;12;12;13
"5292 Gemonde (ged)";1;1;2;2;2;2;2;2;2;2;3;3
"5293 St Michielsgestel/Gemonde";5;5;5;5;6;6;6;8;8;8;8;8
"5294 Gemonde (ged)";1;1;1;1;1;2;2;2;2;2;2;2
"5296 Esch";9;10;10;10;10;10;12;13;12;14;16;16
"5298 Liempde";36;36;36;35;37;40;42;48;50;50;50;51
"5301 Zaltbommel";94;92;93;95;98;99;108;109;115;118;130;137
"5302 Zaltbommel";16;16;16;16;15;14;16;17;17;20;20;23
"5305 Zuilichem";13;13;13;14;14;14;15;16;17;18;20;21
"5306 Brakel";8;8;8;10;10;12;14;14;15;16;16;19
"5307 Poederoijen";6;8;8;8;8;8;9;9;9;9;10;10
"5308 Aalst";11;11;11;11;9;9;11;11;11;13;13;13
"5311 Gameren";23;24;24;24;25;26;25;25;27;30;31;30
"5313 Nieuwaal";6;6;6;6;6;6;6;6;7;8;8;8
"5314 Bruchem";6;6;8;8;8;10;11;12;15;15;16;17
"5315 Kerkwijk";8;9;10;10;11;11;12;12;12;13;14;13
"5316 Beneden-Delwijnen";3;4;4;4;4;4;6;4;4;4;4;4
"5317 Nederhemert";7;7;8;8;8;8;8;8;8;8;8;10
"5318 Bern";0;0;0;0;0;0;0;0;0;0;0;0
"5321 Hedel";40;41;38;39;39;39;42;44;44;48;50;56
"5324 Ammerzoden";28;29;31;31;34;34;36;38;40;43;43;42
"5325 Well";7;8;9;10;11;10;10;10;12;11;11;13
"5327 Hurwenen";13;12;12;12;12;13;12;12;12;12;13;14
"5328 Rossum";25;27;27;27;25;27;30;30;30;30;32;32
"5331 Kerkdriel";34;33;34;35;37;37;39;41;40;43;43;41
"5333 Hoenzadriel";2;2;2;2;2;2;2;2;3;3;3;3
"5334 Velddriel";15;16;20;21;20;20;18;20;20;21;23;24
"5335 Alem";3;3;4;4;4;4;3;3;3;2;2;2
"5341 Centrum";21;25;28;29;30;32;33;36;40;42;44;49
"5342 Zuid";67;66;66;67;68;70;72;73;73;76;82;77
"5343 Ruwaard-Zuid";16;17;17;17;18;18;18;21;24;24;25;26
"5344 Ruwaard-Noord";23;24;24;24;24;27;30;32;33;32;33;33
"5345 Ussen";49;54;56;57;55;61;65;67;68;69;70;71
"5346 Krinkelhoek";31;32;32;32;32;32;34;36;39;40;43;44
"5347 Industrieterrein-N";35;34;34;35;36;36;37;40;41;44;44;46
"5348 Schadewijk";29;30;29;28;31;29;32;34;33;34;36;37
"5349 Industrieterrein-Z";42;45;56;56;56;56;56;60;60;63;65;79
"5351 Berghem";55;58;59;59;58;58;62;68;74;79;82;86
"5352 Deursen-Dennenburg";5;6;6;6;6;6;7;7;7;7;7;6
"5353 Dieden";2;2;2;2;2;2;2;2;2;2;2;2
"5354 Demen";1;1;1;1;1;1;2;2;2;2;2;3
"5355 Neerlangel";"";"";"";"";"";"";"";"";"";"";"";""
"5356 Neerloon";2;2;2;2;2;2;2;2;2;2;2;2
"5357 Overlangel";4;4;4;4;5;5;5;5;5;5;5;5
"5358 Huisseling";1;1;1;1;1;1;1;1;1;2;2;2
"5359 Keent";2;2;2;2;2;2;2;2;2;3;3;3
"5361 Grave";28;29;28;27;27;28;30;32;35;35;38;38
"5363 Velp";12;12;12;12;12;12;12;12;13;13;14;15
"5364 Escharen";11;12;13;13;13;13;15;15;16;15;15;16
"5366 Megen";13;13;13;13;13;13;13;15;15;15;15;16
"5367 Macharen";2;2;2;2;2;2;2;2;2;2;2;3
"5368 Haren";1;1;1;1;1;1;2;2;3;3;3;3
"5371 Ravenstein";30;31;33;36;35;36;39;44;48;48;53;61
"5373 Herpen";17;17;17;17;17;19;20;20;21;23;22;22
"5374 Schaijk";54;55;53;56;58;59;62;66;72;76;80;84
"5375 Reek";8;8;8;8;7;7;11;11;11;12;15;16
"5381 Vrsp hzn Vinkel";3;3;3;3;4;4;4;4;5;6;6;6
"5382 Vinkel";9;8;8;9;9;9;10;10;11;11;14;14
"5383 Vinkel";6;6;6;6;6;6;6;6;8;8;9;11
"5384 Heesch";89;90;91;91;91;92;100;104;106;109;114;123
"5386 Geffen";24;25;27;27;26;28;31;31;31;39;34;39
"5388 Nistelrode";43;43;44;45;44;46;47;46;47;50;53;53
"5391 Nuland";22;21;22;21;21;22;23;25;25;26;29;29
"5392 Nuland";4;4;4;4;4;5;5;5;5;7;8;8
"5394 Oijen";12;12;12;12;12;11;12;12;13;13;15;15
"5395 Teeffelen";2;2;2;2;2;2;2;2;2;2;2;2
"5396 Lithoijen";5;5;5;5;5;7;9;9;9;9;10;10
"5397 Lith";23;25;26;26;25;25;26;28;28;29;30;31
"5398 Maren/Kessel";9;9;10;10;10;10;11;11;12;12;12;12
"5401 Uden";44;45;45;45;44;45;48;53;53;53;57;57
"5402 Schutveld-Hoevenseveld-Bitswijk";36;38;39;40;40;42;44;50;51;52;57;69
"5403 Raam-Melle-Hoeven";40;38;40;41;41;43;47;50;51;54;54;57
"5404 Zoggel";18;19;20;20;20;21;23;24;24;24;24;26
"5405 Ind terr-Sportpark";301;306;326;329;331;335;343;348;356;376;391;457
"5406 Vrsp hzn Uden";88;90;90;91;92;94;97;102;102;103;105;113
"5408 Volkel";20;21;21;21;21;22;23;25;26;26;27;27
"5409 Odiliapeel";12;12;12;12;12;12;14;14;15;16;17;17
"5411 Zeeland";49;50;50;50;52;54;64;67;78;80;83;93
"5421 Gemert";90;91;93;92;92;96;107;112;116;119;127;128
"5422 Gemert";39;40;42;43;44;45;49;51;51;52;52;53
"5423 Handel";18;19;19;19;20;22;22;21;21;21;22;22
"5424 Elsendorp";4;4;4;4;4;4;4;4;5;5;5;6
"5425 Mortel";17;17;18;19;19;19;20;20;22;22;22;24
"5427 Boekel";69;71;73;77;76;78;80;84;86;91;95;98
"5428 Venhorst";14;14;14;14;14;14;17;17;17;17;18;18
"5431 Cuijck";61;63;61;61;65;66;68;73;76;80;82;83
"5432 Heeswijkse Kampen";32;34;33;33;34;37;41;46;52;54;57;59
"5433 Katwijk";6;6;6;6;6;6;7;7;7;8;8;9
"5434 Vianen";9;9;10;10;11;11;11;12;12;13;13;13
"5435 St Agatha";2;2;2;2;2;2;2;2;2;2;2;2
"5437 Beers";14;14;15;16;17;17;18;18;19;19;19;20
"5438 Gassel";10;10;11;11;11;10;11;14;13;15;16;16
"5439 Linden";5;5;5;5;5;5;5;5;5;5;5;5
"5441 Oeffelt";13;13;13;13;13;14;15;15;15;14;14;16
"5443 Haps";25;24;23;23;25;25;27;29;31;31;33;36
"5445 Landhorst";10;11;11;12;12;12;12;12;13;13;14;15
"5446 Wanroij";26;25;25;25;26;30;32;32;33;34;36;38
"5447 Rijkevoort";10;10;10;10;12;12;14;14;15;15;15;16
"5449 Rykevoort Walsert";"";"";"";1;1;1;1;1;1;1;1;1
"5451 Mill";58;58;59;61;60;61;62;63;67;71;73;73
"5453 Langenboom";22;23;24;24;24;25;25;25;26;27;27;27
"5454 St Hubert";9;10;10;11;12;11;13;12;12;13;13;15
"5455 Wilbertoord";9;9;10;9;9;9;9;9;9;9;9;9
"5461 Oosten Aa/Het Ven";17;19;21;20;20;22;24;24;24;25;26;28
"5462 Westen Aa";26;25;25;24;24;25;25;26;26;26;29;30
"5463 Leest/Zuid/Beukelaar/Ham";48;50;49;46;46;49;51;55;59;59;60;60
"5464 Mariaheide";32;32;32;32;32;33;36;37;37;41;42;46
"5465 Zijtaart";27;28;29;29;31;31;30;30;30;30;33;35
"5466 Eerde/De Dubbelen";21;28;24;25;27;28;29;29;30;34;32;39
"5467 De Bunders";37;38;37;37;35;34;34;37;37;40;41;42
"5469 Erp";54;55;58;58;57;57;59;60;62;69;67;67
"5471 Loosbroek";1;1;1;1;1;1;1;1;1;1;1;1
"5472 Loosbroek";32;32;32;32;32;32;33;33;34;35;35;35
"5473 Heeswijk-Dinther";58;60;60;61;61;59;60;63;67;67;69;71
"5476 Vorstenbosch";5;5;7;7;6;7;7;8;9;10;9;10
"5481 West";52;55;56;58;60;62;68;69;77;78;79;83
"5482 Centrum/Oost";66;69;70;71;73;79;80;86;88;95;98;107
"5491 Olland/St-Oedenrode/Nijnsel";125;127;119;120;123;135;138;146;176;183;184;199
"5492 Centrum/Boskant";44;46;48;48;49;48;48;50;49;50;53;59
"5501 Cobbeek/ Centrum";19;25;24;25;25;25;26;26;26;28;29;30
"5502 Zeelst";27;27;27;28;32;31;31;30;30;32;34;39
"5503 Meerveldhoven/d'Ekker";35;36;36;38;44;44;46;52;58;64;67;72
"5504 Veldhoven";52;52;54;55;57;58;61;61;61;62;63;73
"5505 Zonderwijk";14;14;14;15;15;15;18;17;19;19;22;24
"5506 't Look";16;15;15;15;15;15;16;16;16;17;16;17
"5507 Oerle";21;22;22;23;23;24;26;27;28;28;31;32
"5508 Nrd Woongebied";44;44;47;47;50;53;56;57;61;64;66;71
"5509 De Polders";12;14;15;15;15;13;14;16;18;19;20;23
"5511 Knegsel";17;17;18;18;18;18;17;18;19;19;19;20
"5512 Vessem";18;18;18;19;19;20;20;20;21;23;23;23
"5513 Wintelre";9;9;9;9;9;10;10;10;10;9;9;11
"5521 Eersel";73;75;76;77;82;83;87;88;94;96;105;112
"5524 Steensel";10;10;10;10;10;10;10;12;14;14;15;15
"5525 Duizel";14;15;15;14;14;14;14;15;15;15;16;17
"5527 Hapert";43;43;42;43;41;44;53;55;57;62;66;69
"5528 Hoogeloon";9;9;9;9;9;9;9;10;10;10;10;11
"5529 Casteren";10;10;11;11;11;11;10;12;12;13;13;13
"5531 Bladel";92;100;101;102;88;96;97;102;102;106;111;117
"5534 Netersel";7;7;7;7;8;8;8;9;9;9;9;9
"5541 Reusel";47;46;47;47;46;47;45;49;51;54;57;58
"5551 Kloosterakkers/Dommelen";32;34;36;38;38;38;44;45;47;48;48;50
"5552 Geenhoven/Het Gegraaf";22;25;27;29;29;28;30;31;31;32;32;34
"5553 Turfberg-N";9;9;9;9;8;8;8;7;9;9;9;10
"5554 Centrum/Akkers";94;96;98;101;102;106;112;121;126;134;140;159
"5555 Turfberg-Z/Schaapsloop";28;28;29;28;29;31;31;35;39;41;41;39
"5556 Borkel en Schaft";12;12;12;13;12;12;13;13;13;13;15;16
"5561 Riethoven";30;30;30;32;32;33;34;34;36;38;39;42
"5563 Westerhoven";18;20;21;23;23;23;24;24;25;26;26;25
"5571 Bergeijk";80;80;84;85;86;88;89;91;88;89;87;94
"5575 Luyksgestel";9;9;9;10;11;12;13;13;14;14;15;15
"5581 Waalre";66;66;67;71;71;71;75;76;79;82;84;89
"5582 Aalst/Voldijn";44;44;44;44;46;50;52;54;56;55;62;63
"5583 Ekenrooi";34;35;35;35;35;36;39;41;43;47;48;51
"5591 Heeze";71;72;75;76;76;77;79;83;85;87;90;96
"5595 Leende";54;54;56;57;58;58;60;66;67;68;67;68
"5611 Centrum";196;201;209;216;215;225;243;249;258;263;268;289
"5612 Woensel binnen rondweg";45;44;45;44;47;46;49;51;54;54;56;59
"5613 Tongelre binnen rondweg";52;52;52;54;54;53;58;62;68;74;68;80
"5614 Stratum binnen rondweg";13;13;14;14;14;14;15;15;15;16;18;19
"5615 Rapelenburg/Bloemenbrt/Looiakkers";55;56;56;55;55;61;59;59;61;68;73;78
"5616 Strijp binnen rondweg";44;45;46;49;53;54;56;63;66;65;68;69
"5617 Philips complex S";15;15;17;17;17;17;18;18;18;18;19;20
"5621 't Groenewoud";8;8;8;8;9;9;10;10;10;13;15;16
"5622 Woensel buiten rondweg";25;26;26;28;31;32;34;34;33;35;36;37
"5623 Oude toren/rapenland";31;31;31;32;31;36;35;42;47;50;53;62
"5624 Prinsejagt/Driehoeksbos";34;34;36;36;36;37;39;40;40;40;40;37
"5625 Jagershoef/'t Hool/Vlokhoven";17;17;17;17;17;17;18;21;21;20;20;22
"5626 Vredeoord/Acht";39;39;40;42;46;48;49;52;52;54;53;54
"5627 Achtse Barrier";48;49;51;52;54;59;65;66;68;76;80;85
"5628 Woenselse Heide/Tempel";376;399;385;383;390;404;423;427;459;473;486;542
"5629 Blixem-/Sprookjesbosch";38;40;41;42;45;46;50;57;60;69;69;69
"5631 Karpen/Hondsheuvels/Oude Gracht/Koudenhove";42;43;46;47;47;48;50;51;52;52;52;55
"5632 Eckart/Luytelaer/Vaartbroek/Heesterakker";59;59;61;63;64;64;67;70;71;76;75;76
"5633 Esp/Bokt";14;15;15;15;15;15;15;13;13;13;13;14
"5641 Tongelre buiten rondweg";39;41;41;41;41;44;49;51;58;60;65;65
"5642 Poeijersstraat/Doornakkers";40;40;44;44;44;43;44;46;49;49;50;53
"5643 Stratum buiten rondweg I";22;22;24;24;24;25;29;31;29;32;31;32
"5644 Stratum buiten rondweg II";55;55;58;59;59;59;62;66;64;64;65;68
"5645 Geldropseweg/Tivoli";23;24;26;27;26;27;29;30;31;32;34;37
"5646 Gijzenrooi/Schuttersbos";15;16;16;16;17;18;17;18;18;18;18;18
"5647 Gijzenrooi";0;0;1;1;1;1;1;1;1;1;1;1
"5651 Strijp buiten rondweg II";53;53;53;54;56;56;57;58;61;64;64;69
"5652 Strijp buiten rondweg I";76;77;77;78;83;87;90;92;91;101;106;122
"5653 Genderbeemd/-dal";27;28;30;33;34;36;37;39;42;43;43;45
"5654 Gestel buiten rondweg I";22;24;23;22;23;24;25;28;33;33;34;35
"5655 Hanevoeg/Ooievaarsnest";20;20;21;22;23;23;24;29;31;31;32;34
"5656 De Beemden";19;19;19;18;17;15;15;15;17;18;18;19
"5657 Welschap/Meerhoven";66;68;68;68;68;70;71;69;70;71;72;81
"5658 Eindhoven";54;55;59;60;60;64;70;74;78;83;87;88
"5661 Gijzenrooi";15;15;15;15;15;18;20;20;20;20;20;20
"5662 Skandia";20;21;20;20;20;22;22;22;23;22;25;27
"5663 Zesgehuchten/Genoenhuis";77;87;87;91;93;95;102;111;117;121;123;117
"5664 Centrum/Akert";39;38;41;41;43;44;47;47;48;49;52;53
"5665 Coevering/Braakhuizense Heide";17;17;18;18;19;20;22;23;23;26;26;26
"5666 Braakhuizen-Z";20;20;20;20;22;22;21;25;26;29;33;30
"5667 Braakhuizen-N";34;35;37;36;37;36;38;41;43;46;44;42
"5671 Nuenen-N";33;33;33;35;36;36;38;40;42;45;44;46
"5672 Nuenen-Z";42;42;43;44;44;45;47;47;47;50;51;59
"5673 Oost";36;38;40;40;44;45;46;46;47;52;56;57
"5674 Gerwen/Nederwetten/Eeneind";62;61;62;64;65;72;72;72;74;75;77;92
"5681 Vleut";13;13;13;13;15;15;15;15;17;17;17;17
"5682 De Pailjaart";25;26;27;27;25;27;27;28;30;30;31;33
"5683 Best";49;51;50;54;53;52;56;56;58;59;61;63
"5684 Best/Wilhelminadorp/Batadorp";73;74;75;80;81;87;91;92;96;103;108;112
"5685 Best Heikant";41;41;44;48;49;51;55;58;59;60;59;62
"5688 Oirschot";132;134;134;138;139;142;145;148;153;156;160;161
"5689 Oirschot";4;4;4;4;4;4;4;5;5;6;6;7
"5691 Son";83;86;87;90;93;100;104;106;110;119;120;122
"5692 Ind terr Ekkersrijt";64;66;68;71;75;83;84;92;98;103;110;126
"5694 Breugel";19;21;21;22;22;23;24;24;23;25;26;27
"5701 Binnenstad";38;38;39;39;39;38;40;43;47;45;45;47
"5702 Noord";24;23;23;24;25;27;27;30;31;30;31;31
"5703 Oost/Rijpelberg/Dierdonk";9;10;10;10;12;11;12;15;15;16;16;18
"5704 Brouwhuis";29;29;30;29;30;34;38;39;37;43;46;50
"5705 Hoogeind/Stationsgebied";111;105;104;101;103;112;119;121;127;130;137;149
"5706 Mierlo-Hout";69;71;73;75;78;80;81;89;91;97;101;102
"5707 West/Noordwest";58;60;63;63;63;65;68;65;69;74;77;81
"5708 Stiphout";91;93;95;96;101;104;112;118;127;130;133;137
"5709 Rijpelberg";59;62;64;65;65;79;82;87;92;94;100;104
"5711 Someren/Slieven";30;33;35;37;36;37;37;40;44;45;45;48
"5712 Eind/Heide/Hoeven";51;51;50;51;51;53;59;63;68;73;74;78
"5715 Lierop";12;13;12;12;13;14;14;16;16;16;16;16
"5721 Asten";59;61;64;66;68;73;77;83;90;94;96;97
"5724 Ommel";11;11;11;11;11;10;11;12;12;12;12;12
"5725 Heusden";35;37;36;36;36;36;36;35;35;36;36;37
"5731 Mierlo";91;95;98;98;100;103;111;117;122;125;127;132
"5735 Aarle-Rixtel";47;48;51;51;52;53;55;59;60;64;66;70
"5737 Lieshout";45;46;45;45;45;45;44;45;46;49;49;49
"5738 Mariahout";9;10;9;9;9;12;12;12;13;13;15;15
"5741 Beek en Donk";54;54;54;55;59;64;66;69;70;76;78;80
"5751 Deurne";49;59;62;63;66;62;70;74;74;76;75;78
"5752 Walsberg";8;8;8;9;9;10;10;10;10;11;12;12
"5753 St Jozefparochie";49;48;48;50;51;53;53;53;53;53;53;52
"5754 Heiakker";17;17;17;17;20;20;21;23;25;25;29;28
"5756 Vlierden";9;9;9;10;10;11;11;12;12;12;13;13
"5757 Liessel";16;17;17;17;16;16;16;17;17;18;20;20
"5758 Neerkant";23;22;22;21;21;21;23;24;25;25;26;27
"5759 Helenaveen";3;3;3;3;3;3;3;4;4;5;5;5
"5761 Bakel";23;24;24;24;24;24;26;28;28;30;30;33
"5763 Milheeze";9;8;8;8;8;10;10;11;11;12;12;13
"5764 Rips";17;18;18;18;17;17;17;18;18;18;18;18
"5766 Griendtsveen";1;1;1;1;1;1;1;1;1;1;1;1
"5768 Meijel";49;50;51;52;52;55;53;56;66;66;65;68
"5801 Centrum/West/Vlakwater/Veltum";42;43;43;45;44;45;46;47;51;55;57;60
"5802 Oost/Brukske";32;33;33;32;35;35;37;36;38;39;39;39
"5803 Landweert/St.Antoniusveld";36;36;37;37;37;39;39;40;43;44;46;47
"5804 Smakterheide/Brabander";10;10;12;13;15;15;15;18;18;21;21;22
"5807 Oostrum";8;9;9;13;13;13;15;13;15;17;15;15
"5808 Oirlo";6;6;7;9;9;9;10;11;11;11;11;15
"5809 Leunen";8;8;9;9;9;10;10;12;12;13;13;13
"5811 Castenray";4;4;4;4;5;5;6;6;5;6;6;6
"5812 Heide";5;5;5;5;5;5;5;5;5;5;5;6
"5813 Ysselsteyn";20;22;23;23;23;25;27;28;30;34;36;40
"5814 Veulen";1;1;1;1;1;1;1;1;1;1;1;1
"5815 Merselo";5;4;4;4;4;4;5;7;7;7;7;7
"5816 Vredepeel";1;1;1;1;1;1;1;1;2;2;2;2
"5817 Smakt";1;1;1;1;1;1;1;1;1;1;1;1
"5821 Vierlingsbeek";19;19;20;19;19;19;23;24;23;24;23;24
"5823 Maashees";2;2;2;2;3;3;4;4;4;4;4;4
"5824 Holthees";4;4;4;4;4;4;4;5;6;6;6;7
"5825 Overloon";37;35;35;36;37;38;38;37;39;39;42;42
"5826 Groeningen";5;5;5;4;4;4;4;5;5;6;6;6
"5827 Vortum-Mullem";2;2;2;2;2;3;3;3;3;4;4;6
"5831 Boxmeer";83;88;90;92;90;94;95;94;98;100;104;106
"5835 Beugen";14;14;14;14;14;14;15;15;16;16;16;17
"5836 Sambeek";10;10;10;12;12;12;13;13;14;14;15;15
"5841 Oploo";10;11;11;12;13;13;13;13;13;13;13;14
"5843 Westerbeek";3;3;4;4;4;4;4;4;5;5;5;5
"5844 Stevensbeek";7;7;7;7;7;7;8;9;10;10;10;10
"5845 St Anthonis";24;24;23;22;24;25;25;25;27;29;33;36
"5846 Ledeacker";7;7;7;8;8;7;8;8;9;9;10;10
"5851 Afferden";10;10;11;10;10;10;11;13;14;14;15;16
"5853 Siebengewald";9;9;9;10;12;12;12;12;12;12;12;11
"5854 Bergen";22;24;24;23;23;24;25;26;26;29;30;31
"5855 Well";11;11;10;11;12;12;12;13;14;14;15;15
"5856 Wellerlooi";12;12;12;12;13;14;14;14;17;17;17;17
"5861 Wanssum";12;14;14;14;13;15;17;17;18;17;17;16
"5862 Geysteren";3;3;4;4;4;4;4;4;4;4;4;4
"5863 Blitterswijck";5;5;5;5;4;5;5;8;8;8;8;10
"5864 Meerlo";7;8;8;8;8;8;10;10;10;10;8;8
"5865 Tienraij";3;3;5;5;5;5;5;5;5;5;5;6
"5866 Swolgen";5;5;6;6;6;6;6;6;6;6;6;8
"5871 Broekhuizenvorst";6;6;6;6;6;6;6;6;6;5;5;5
"5872 Broekhuizen";4;4;4;4;4;4;4;4;4;5;5;6
"5911 Centrum";15;15;16;18;18;18;19;21;22;21;23;26
"5912 Jammerdaal/Sinselveld";27;27;28;28;30;29;31;33;33;34;36;37
"5913 Hogekamp/Stalberg";21;23;24;25;25;26;27;31;33;34;37;42
"5914 Genooi/Meeuwbeemd";24;23;26;27;27;27;30;31;32;32;36;37
"5915 Leutherberg/Vogelhut/G&K Heide";43;42;42;42;43;44;45;45;44;46;48;53
"5916 Veegtes/Het Ven/Herongerberg/Venkoelen";21;21;21;22;22;22;23;24;25;25;25;27
"5921 Centrum/Hazenkamp";22;22;22;22;22;25;24;25;26;26;27;28
"5922 Vastenavondkamp/Smelienkamp";15;15;16;16;15;15;15;14;14;14;15;15
"5923 St Annakamp";10;10;10;11;11;12;12;16;16;17;18;18
"5924 Vossener";4;4;4;4;4;4;5;7;6;5;5;5
"5925 Klingerberg";7;7;7;8;8;7;7;7;8;8;8;9
"5926 Hout-Blerick/Meuleveld";10;10;11;11;12;12;12;12;12;13;13;14
"5927 Boekend";210;210;207;202;201;201;214;224;234;234;234;338
"5928 Ubroek";50;54;57;57;56;52;59;60;61;63;64;77
"5931 Centrum/Bosserhof";35;36;36;37;38;40;40;43;44;46;49;51
"5932 Haandert/Op de Heide";16;17;16;15;15;14;14;14;13;14;14;18
"5935 Steyl";12;12;12;12;11;12;14;14;14;15;16;17
"5941 Velden";29;30;35;35;36;38;42;45;49;49;50;51
"5943 Lomm";3;3;4;5;5;5;7;7;6;6;6;6
"5944 Arcen";16;16;17;17;17;18;20;21;21;23;23;24
"5951 Belfeld";13;13;13;13;16;18;17;20;20;22;22;24
"5953 Reuver";34;34;35;35;35;34;37;39;43;45;46;55
"5954 Beesel";8;8;8;8;8;7;7;7;7;7;7;9
"5961 Horst";78;101;100;99;98;115;138;128;119;121;140;171
"5962 Melderslo";13;13;12;12;13;14;14;15;15;16;16;16
"5963 Hegelsom";8;8;8;8;8;8;8;8;9;10;10;11
"5964 Meterik";10;9;10;11;12;11;12;12;11;12;12;13
"5966 America";13;13;13;14;14;14;12;12;13;14;14;15
"5971 Grubbenvorst";30;27;28;30;31;32;31;32;36;39;43;46
"5973 Lottum";20;20;20;20;18;19;21;21;21;21;21;21
"5975 Sevenum";23;23;25;26;26;28;33;38;37;40;42;43
"5976 Kronenberg";7;8;8;8;8;8;10;10;11;11;11;11
"5977 Evertsoord";1;1;1;2;2;2;2;2;2;2;2;1
"5981 Panningen";23;23;24;24;24;27;25;26;27;27;29;30
"5984 Koningslust";4;4;4;4;5;5;6;7;9;9;8;8
"5985 Grashoek";6;6;7;7;7;7;7;9;11;10;10;10
"5986 Beringe";8;8;10;11;11;11;11;12;14;15;16;16
"5987 Egchel";3;3;3;3;4;5;6;7;8;8;8;8
"5988 Helden";33;33;36;37;38;40;41;40;40;41;43;46
"5991 Baarlo";14;15;17;18;17;17;22;22;28;31;32;35
"5993 Maasbree";38;39;39;39;39;40;40;41;41;42;44;45
"5995 Kessel";27;27;27;28;30;31;31;32;33;35;36;41
"6001 Weert";45;46;46;46;49;50;54;55;56;62;63;66
"6002 Noord";30;30;29;31;32;35;37;40;43;43;45;45
"6003 Laar/Hushoven/Biest-N";36;38;41;41;43;42;46;48;49;51;56;67
"6004 Groenewoud/Leuken";38;39;39;41;42;43;43;49;49;49;52;55
"6005 Zuid";24;25;25;25;25;25;25;27;29;30;32;33
"6006 Randgebieden-Z/-O";42;41;43;43;44;45;44;44;48;50;52;54
"6011 Ell";6;6;6;6;6;6;7;7;7;8;8;8
"6012 Haler";1;1;1;1;1;1;1;1;1;1;1;1
"6013 Hunsel";4;4;5;5;5;6;6;6;6;7;8;8
"6014 Ittervoort";6;6;6;8;9;9;10;10;10;10;11;11
"6015 Neeritter";2;2;3;3;3;3;3;4;4;5;5;5
"6017 Thorn";36;37;37;36;36;36;36;36;37;36;31;32
"6019 Wessem";6;6;6;7;7;8;8;8;8;9;10;10
"6021 Budel";50;50;52;52;53;53;53;54;55;57;60;64
"6023 Schoot";6;6;6;6;6;6;6;7;7;8;9;10
"6024 Dorplein";8;8;9;9;9;9;10;10;10;12;12;12
"6026 Maarheze";35;37;35;35;36;37;38;41;42;44;44;48
